time	I(R10)
0.000000000000000e+00	-7.173895e-05
2.420386113755058e-11	-7.183860e-05
4.516569594291594e-11	-7.185591e-05
8.708936555364666e-11	-7.179065e-05
1.709367047751081e-10	-7.165334e-05
3.386313832180310e-10	-7.146657e-05
4.949864914488513e-10	-7.135625e-05
3.035611691725905e-09	-7.105232e-05
5.576236892002958e-09	-7.081636e-05
8.116862092280013e-09	-7.064837e-05
1.065748729255707e-08	-7.054835e-05
1.319811249283412e-08	-7.051631e-05
1.573873769311117e-08	-7.055224e-05
1.827936289338822e-08	-7.065615e-05
2.831020001342924e-08	-7.088675e-05
4.897380454780805e-08	-7.132688e-05
6.358118900133007e-08	-7.151019e-05
7.397068748906842e-08	-7.158909e-05
8.993237081003392e-08	-7.166767e-05
1.148039061280634e-07	-7.173797e-05
1.470817873854583e-07	-7.178066e-05
1.938904339886744e-07	-7.179594e-05
2.431955816376688e-07	-7.178129e-05
3.114986275613072e-07	-7.172990e-05
3.939609166686184e-07	-7.162613e-05
5.331682282548780e-07	-7.136067e-05
6.666221742466779e-07	-7.098936e-05
8.717939618823263e-07	-7.018562e-05
1.138087602178617e-06	-6.875047e-05
1.533711812572380e-06	-6.588973e-05
1.934074204966730e-06	-6.212686e-05
2.365041555004734e-06	-5.702775e-05
2.817556811746387e-06	-5.046474e-05
3.387890903011102e-06	-4.048707e-05
4.020947851490425e-06	-2.678229e-05
5.287061748449072e-06	8.952869e-06
7.499435972507021e-06	9.139600e-05
9.919822101593084e-06	2.040861e-04
1.081887521017824e-05	2.536442e-04
1.164237416148455e-05	3.043975e-04
1.239583320513105e-05	3.540795e-04
1.321128126353274e-05	4.116381e-04
1.440759762360281e-05	5.023421e-04
1.572844941566361e-05	6.120657e-04
1.814883554474968e-05	8.325155e-04
1.964878170098170e-05	9.812044e-04
2.098348039613263e-05	1.124349e-03
2.246595749852137e-05	1.294867e-03
2.475263866022959e-05	1.575984e-03
2.648924038211437e-05	1.803500e-03
2.809202611457727e-05	2.027222e-03
3.016060812985156e-05	2.333571e-03
3.258099425893762e-05	2.713913e-03
3.500138038802368e-05	3.113931e-03
3.587976915900008e-05	3.265001e-03
3.671555977148332e-05	3.412995e-03
3.762446313984932e-05	3.577045e-03
3.845266244866311e-05	3.729707e-03
3.979980917516186e-05	3.984859e-03
4.197479056150706e-05	4.410624e-03
4.433102472962031e-05	4.890023e-03
4.675141085870637e-05	5.403046e-03
4.917179698779243e-05	5.935090e-03
5.085319698439261e-05	6.317112e-03
5.290298086414316e-05	6.797155e-03
5.506934665912304e-05	7.319217e-03
5.748973278820910e-05	7.919945e-03
5.991011891729516e-05	8.535584e-03
6.081163728077365e-05	8.769404e-03
6.163359360098844e-05	8.985661e-03
6.247889925399703e-05	9.210134e-03
6.324215722818658e-05	9.414839e-03
6.445779267775764e-05	9.745033e-03
6.642553826455420e-05	1.028810e-02
6.869850356976244e-05	1.092768e-02
7.111888969884849e-05	1.162343e-02
7.353927582793455e-05	1.233360e-02
7.559086348616205e-05	1.294730e-02
7.779529752337907e-05	1.361853e-02
7.989690436893069e-05	1.426933e-02
8.231729049801675e-05	1.503150e-02
8.473767662710280e-05	1.580431e-02
8.570245602672826e-05	1.611580e-02
8.649788655119316e-05	1.637471e-02
8.725796167941150e-05	1.662346e-02
8.816001539473922e-05	1.692034e-02
8.932424000509024e-05	1.730625e-02
9.121043106189483e-05	1.793723e-02
9.349532853866990e-05	1.871002e-02
9.591571466775596e-05	1.953869e-02
9.833610079684201e-05	2.037733e-02
1.004946481101448e-04	2.113374e-02
1.027193898153715e-04	2.192143e-02
1.047921643317692e-04	2.266252e-02
1.072125504608553e-04	2.353619e-02
1.096329365899414e-04	2.441681e-02
1.106634448489659e-04	2.479414e-02
1.114493654781354e-04	2.508325e-02
1.122471385865856e-04	2.537764e-02
1.131559893637119e-04	2.571409e-02
1.143176929869846e-04	2.614587e-02
1.161998776623014e-04	2.684903e-02
1.185934421926703e-04	2.774868e-02
1.210138283217564e-04	2.866450e-02
1.234342144508425e-04	2.958624e-02
1.255461347576545e-04	3.039525e-02
1.277541972334725e-04	3.124557e-02
1.298417201157098e-04	3.205343e-02
1.322621062447958e-04	3.299451e-02
1.346824923738819e-04	3.393919e-02
1.356819076159907e-04	3.433043e-02
1.364723311291548e-04	3.464052e-02
1.372522602326857e-04	3.494691e-02
1.381578945764367e-04	3.530320e-02
1.393207912033569e-04	3.576148e-02
1.412048718965196e-04	3.650554e-02
1.434990468876635e-04	3.741374e-02
1.459194330167496e-04	3.837434e-02
1.483398191458357e-04	3.933714e-02
1.504973552063082e-04	4.019706e-02
1.527227710751481e-04	4.108540e-02
1.547958677446809e-04	4.191397e-02
1.572162538737670e-04	4.288227e-02
1.596366400028530e-04	4.385117e-02
1.606648249733846e-04	4.426291e-02
1.614510823354273e-04	4.457781e-02
1.622475214068440e-04	4.489681e-02
1.631561317721451e-04	4.526073e-02
1.643179245693638e-04	4.572601e-02
1.662002509722646e-04	4.647964e-02
1.685480125450087e-04	4.741912e-02
1.709683986740948e-04	4.838682e-02
1.733887848031808e-04	4.935339e-02
1.755230252929342e-04	5.020445e-02
1.777326288227588e-04	5.108409e-02
1.798132343955995e-04	5.191075e-02
1.822336205246856e-04	5.287020e-02
1.846540066537716e-04	5.382751e-02
1.856712960835840e-04	5.422907e-02
1.864591320245209e-04	5.453955e-02
1.872493164355650e-04	5.485058e-02
1.881567995146467e-04	5.520732e-02
1.893190104400751e-04	5.566339e-02
1.912020013791576e-04	5.640047e-02
1.935613527145485e-04	5.732100e-02
1.959817388436346e-04	5.826155e-02
1.984021249727207e-04	5.919794e-02
2.005289468150717e-04	6.001695e-02
2.027506299530659e-04	6.086842e-02
2.048335201572971e-04	6.166267e-02
2.072539062863831e-04	6.258056e-02
2.096742924154692e-04	6.349386e-02
2.106788532959423e-04	6.387129e-02
2.114685321586092e-04	6.416698e-02
2.122514128851041e-04	6.445941e-02
2.131575793741783e-04	6.479704e-02
2.143202786297868e-04	6.522874e-02
2.162040456547691e-04	6.592492e-02
2.184885511075254e-04	6.676416e-02
2.209089372366114e-04	6.764691e-02
2.233293233656975e-04	6.852286e-02
2.254928849145638e-04	6.929959e-02
2.277029093773729e-04	7.008668e-02
2.297740137383839e-04	7.081816e-02
2.321943998674699e-04	7.166542e-02
2.346147859965560e-04	7.250592e-02
2.356566799090722e-04	7.286524e-02
2.364409496633490e-04	7.313427e-02
2.372452621883014e-04	7.340912e-02
2.381552913416682e-04	7.371884e-02
2.393165578724871e-04	7.411197e-02
2.411980478479438e-04	7.474431e-02
2.435962750014231e-04	7.554293e-02
2.460166611305092e-04	7.634007e-02
2.484370472595953e-04	7.712796e-02
2.505465512713177e-04	7.780658e-02
2.527648659396290e-04	7.851183e-02
2.548531469930568e-04	7.916771e-02
2.572735331221428e-04	7.991807e-02
2.596939192512289e-04	8.065980e-02
2.606861634581551e-04	8.096087e-02
2.614776243795325e-04	8.119920e-02
2.622534409614376e-04	8.143156e-02
2.631583337892047e-04	8.170104e-02
2.643215054384552e-04	8.204482e-02
2.662060231982460e-04	8.259617e-02
2.684711418874339e-04	8.325037e-02
2.708915280165199e-04	8.393872e-02
2.733119141456060e-04	8.461585e-02
2.754840170396297e-04	8.521337e-02
2.776954689826241e-04	8.581164e-02
2.797637510670645e-04	8.636162e-02
2.821841371961506e-04	8.699355e-02
2.846045233252366e-04	8.761521e-02
2.856528542223750e-04	8.788069e-02
2.864361901470159e-04	8.807691e-02
2.872442011007412e-04	8.827775e-02
2.881548966120974e-04	8.850227e-02
2.893159159669193e-04	8.878545e-02
2.911970130804421e-04	8.923759e-02
2.935909952010604e-04	8.980241e-02
2.960113813301464e-04	9.036093e-02
2.984317674592325e-04	9.090646e-02
3.005439706269673e-04	9.137131e-02
3.027609394720694e-04	9.184774e-02
3.048483968400096e-04	9.228542e-02
3.072687829690957e-04	9.277969e-02
3.096891690981817e-04	9.326243e-02
3.106843943660265e-04	9.345693e-02
3.114754240766895e-04	9.360912e-02
3.122529501426670e-04	9.375708e-02
3.131581512126557e-04	9.392730e-02
3.143212085379055e-04	9.414262e-02
3.162055446144804e-04	9.448417e-02
3.184937493661526e-04	9.488787e-02
3.209141354952387e-04	9.530120e-02
3.233345216243247e-04	9.570033e-02
3.254954172522647e-04	9.604400e-02
3.277069977284901e-04	9.638319e-02
3.297790445419288e-04	9.668913e-02
3.321994306710148e-04	9.703219e-02
3.346198168001009e-04	9.736270e-02
3.356585550983869e-04	9.750002e-02
3.364432825150035e-04	9.760115e-02
3.372457823005600e-04	9.770271e-02
3.381554848248386e-04	9.781564e-02
3.393168725126552e-04	9.795615e-02
3.411985550529146e-04	9.817589e-02
3.435712663330986e-04	9.844059e-02
3.459916524621847e-04	9.869586e-02
3.484120385912707e-04	9.893595e-02
3.505341383757776e-04	9.913329e-02
3.527510637025603e-04	9.932617e-02
3.548354410661136e-04	9.949499e-02
3.572558271951996e-04	9.967590e-02
3.596762133242857e-04	9.984369e-02
3.606795688199914e-04	9.990868e-02
3.614694221386144e-04	9.995713e-02
3.622516113875150e-04	1.000032e-01
3.631576532146470e-04	1.000544e-01
3.643203987072607e-04	1.001162e-01
3.662042392137903e-04	1.002082e-01
3.685282950157876e-04	1.003091e-01
3.709486811448736e-04	1.003991e-01
3.733690672739597e-04	1.004733e-01
3.755127708665490e-04	1.005254e-01
3.777231693141479e-04	1.005655e-01
3.798008424446970e-04	1.005903e-01
3.822212285737830e-04	1.006038e-01
3.846416147028691e-04	1.006038e-01
3.856666787645489e-04	1.005991e-01
3.864533883939038e-04	1.005927e-01
3.872480356208775e-04	1.005843e-01
3.881563230582439e-04	1.005723e-01
3.893182356356349e-04	1.005531e-01
3.912007524084668e-04	1.005138e-01
3.935299532348587e-04	1.004525e-01
3.959503393639448e-04	1.003734e-01
3.983707254930308e-04	1.002786e-01
4.005134493350925e-04	1.001809e-01
4.027324058093741e-04	1.000660e-01
4.048102296364350e-04	9.994551e-02
4.072306157655211e-04	9.978979e-02
4.096510018946071e-04	9.962071e-02
4.106701765516194e-04	9.954482e-02
4.114577394252760e-04	9.948342e-02
4.122490058793320e-04	9.941982e-02
4.131566839897186e-04	9.934456e-02
4.143188225757456e-04	9.924439e-02
4.162016985462555e-04	9.907389e-02
4.185669697765187e-04	9.884695e-02
4.209873559056047e-04	9.859959e-02
4.234077420346908e-04	9.833674e-02
4.255321463883439e-04	9.809272e-02
4.277401946840929e-04	9.782580e-02
4.298240514299373e-04	9.756137e-02
4.322444375590233e-04	9.723930e-02
4.346648236881094e-04	9.690428e-02
4.356753260482957e-04	9.675990e-02
4.364641448278544e-04	9.664454e-02
4.372504343695243e-04	9.652773e-02
4.381572153769305e-04	9.639079e-02
4.393196867062909e-04	9.621159e-02
4.412030914992413e-04	9.591343e-02
4.435021543119618e-04	9.553768e-02
4.459225404410479e-04	9.512772e-02
4.483429265701339e-04	9.470301e-02
4.504994791064030e-04	9.431166e-02
4.527205461957889e-04	9.389585e-02
4.547938672837856e-04	9.349585e-02
4.572142534128716e-04	9.301476e-02
4.596346395419577e-04	9.252144e-02
4.606640794834363e-04	9.230729e-02
4.614501549580801e-04	9.214127e-02
4.622473146215184e-04	9.197114e-02
4.631560548484293e-04	9.177513e-02
4.643177994772300e-04	9.152111e-02
4.662000493243134e-04	9.110215e-02
4.685811118629562e-04	9.056066e-02
4.710014979920423e-04	8.999673e-02
4.734218841211283e-04	8.941907e-02
4.755391877320256e-04	8.890207e-02
4.777457068363168e-04	8.835164e-02
4.798318021103323e-04	8.782035e-02
4.822521882394183e-04	8.719097e-02
4.846725743685044e-04	8.655041e-02
4.856782133238394e-04	8.628041e-02
4.864677361463744e-04	8.606617e-02
4.872512353437838e-04	8.585201e-02
4.881575133308966e-04	8.560242e-02
4.893201712318680e-04	8.527911e-02
4.912038725343524e-04	8.474868e-02
4.935030317205767e-04	8.409134e-02
4.959234178496629e-04	8.338731e-02
