Temps	Canal A	Canal B
(ms)	(mV)	(V)

-5.10941679	76.03686000	1.25965100
-5.10685679	71.55064000	1.34937600
-5.10429679	71.55064000	1.34937600
-5.10173679	67.07968000	1.39408600
-5.09917679	67.07968000	1.39408600
-5.09661679	62.59346000	1.39408600
-5.09405679	58.10724000	1.39408600
-5.09149679	58.10724000	1.43894800
-5.08893679	53.62102000	1.43894800
-5.08637679	49.15006000	1.48365700
-5.08381679	44.66384000	1.48365700
-5.08125679	40.17762000	1.48365700
-5.07869679	40.17762000	1.52852000
-5.07613679	35.70665000	1.57322900
-5.07357679	35.70665000	1.57322900
-5.07101679	26.73421000	1.61809100
-5.06845679	26.73421000	1.66280100
-5.06589679	26.73421000	1.66280100
-5.06333679	22.26325000	1.70766300
-5.06077679	13.30607000	1.70766300
-5.05821679	13.30607000	1.75237300
-5.05565679	13.30607000	1.70766300
-5.05309679	8.81984900	1.84194500
-5.05053679	8.81984900	1.84194500
-5.04797679	-0.13733330	1.84194500
-5.04541679	-0.13733330	1.84194500
-5.04285679	-4.62355400	1.84194500
-5.04029679	-4.62355400	1.88680700
-5.03773679	-4.62355400	1.88680700
-5.03517679	-9.09451500	1.93151600
-5.03261679	-18.06696000	1.97637900
-5.03005679	-18.06696000	1.97637900
-5.02749679	-22.55318000	2.02108800
-5.02493679	-27.02414000	2.06595000
-5.02237679	-27.02414000	2.06595000
-5.01981679	-31.51036000	2.11081300
-5.01725679	-35.99658000	2.11081300
-5.01469679	-35.99658000	2.15552200
-5.01213679	-44.95376000	2.20038500
-5.00957679	-49.43998000	2.20038500
-5.00701679	-44.95376000	2.24509400
-5.00445679	-49.43998000	2.28995600
-5.00189679	-53.91095000	2.28995600
-4.99933679	-53.91095000	2.28995600
-4.99677679	-58.39716000	2.33466600
-4.99421679	-62.88339000	2.37952800
-4.99165679	-71.84057000	2.37952800
-4.98909679	-67.36961000	2.37952800
-4.98653679	-71.84057000	2.46910000
-4.98397679	-76.32679000	2.46910000
-4.98141679	-80.81301000	2.46910000
-4.97885679	-80.81301000	2.51381000
-4.97629679	-80.81301000	2.51381000
-4.97373679	-85.28397000	2.51381000
-4.97117679	-85.28397000	2.55867200
-4.96861679	-89.77020000	2.60338100
-4.96605679	-94.25641000	2.60338100
-4.96349679	-94.25641000	2.60338100
-4.96093679	-94.25641000	2.64824400
-4.95837679	-98.72737000	2.64824400
-4.95581679	-94.25641000	2.69295300
-4.95325679	-107.69980000	2.73781500
-4.95069679	-107.69980000	2.73781500
-4.94813679	-112.18600000	2.73781500
-4.94557679	-116.65700000	2.78267800
-4.94301679	-116.65700000	2.82738700
-4.94045679	-121.14320000	2.87225000
-4.93789679	-121.14320000	2.91695900
-4.93533679	-125.62940000	2.91695900
-4.93277679	-125.62940000	2.96182100
-4.93021679	-125.62940000	3.00653100
-4.92765679	-134.58660000	3.00653100
-4.92509679	-121.14320000	3.05139300
-4.92253679	-134.58660000	3.09610300
-4.91997679	-134.58660000	3.09610300
-4.91741679	-139.07280000	3.14096500
-4.91485679	-139.07280000	3.18567500
-4.91229679	-143.55910000	3.18567500
-4.90973679	-143.55910000	3.18567500
-4.90717679	-148.03000000	3.18567500
-4.90461679	-152.51620000	3.23053700
-4.90205679	-152.51620000	3.27524600
-4.89949679	-152.51620000	3.32010900
-4.89693679	-152.51620000	3.32010900
-4.89437679	-157.00250000	3.32010900
-4.89181679	-157.00250000	3.36481800
-4.88925679	-157.00250000	3.36481800
-4.88669679	-161.47340000	3.36481800
-4.88413679	-161.47340000	3.40968000
-4.88157679	-161.47340000	3.40968000
-4.87901679	-161.47340000	3.45439000
-4.87645679	-165.95960000	3.45439000
-4.87389679	-165.95960000	3.54411500
-4.87133679	-170.44590000	3.54411500
-4.86877679	-170.44590000	3.58882400
-4.86621679	-170.44590000	3.63368600
-4.86365679	-174.91680000	3.58882400
-4.86109679	-174.91680000	3.63368600
-4.85853679	-179.40300000	3.63368600
-4.85597679	-174.91680000	3.67839600
-4.85341679	-174.91680000	3.67839600
-4.85085679	-179.40300000	3.67839600
-4.84829679	-179.40300000	3.72325800
-4.84573679	-188.37550000	3.76796800
-4.84317679	-179.40300000	3.76796800
-4.84061679	-179.40300000	3.81283000
-4.83805679	-183.88930000	3.81283000
-4.83549679	-183.88930000	3.81283000
-4.83293679	-188.37550000	3.85754000
-4.83037679	-183.88930000	3.90240200
-4.82781679	-183.88930000	3.85754000
-4.82525679	-188.37550000	3.85754000
-4.82269679	-183.88930000	3.94711100
-4.82013679	-183.88930000	3.90240200
-4.81757679	-183.88930000	3.94711100
-4.81501679	-188.37550000	3.94711100
-4.81245679	-188.37550000	3.94711100
-4.80989679	-183.88930000	3.99197400
-4.80733679	-183.88930000	3.99197400
-4.80477679	-188.37550000	3.99197400
-4.80221679	-188.37550000	3.99197400
-4.79965679	-188.37550000	3.99197400
-4.79709679	-179.40300000	4.03668300
-4.79453679	-188.37550000	4.03668300
-4.79197679	-188.37550000	4.03668300
-4.78941679	-183.88930000	4.08154500
-4.78685679	-188.37550000	4.08154500
-4.78429679	-183.88930000	4.08154500
-4.78173679	-183.88930000	4.12625500
-4.77917679	-183.88930000	4.08154500
-4.77661679	-183.88930000	4.08154500
-4.77405679	-183.88930000	4.12625500
-4.77149679	-183.88930000	4.12625500
-4.76893679	-179.40300000	4.17111700
-4.76637679	-179.40300000	4.12625500
-4.76381679	-179.40300000	4.12625500
-4.76125679	-179.40300000	4.17111700
-4.75869679	-179.40300000	4.17111700
-4.75613679	-174.91680000	4.17111700
-4.75357679	-174.91680000	4.17111700
-4.75101679	-174.91680000	4.21598000
-4.74845679	-174.91680000	4.17111700
-4.74589679	-170.44590000	4.17111700
-4.74333679	-170.44590000	4.17111700
-4.74077679	-170.44590000	4.17111700
-4.73821679	-165.95960000	4.17111700
-4.73565679	-165.95960000	4.17111700
-4.73309679	-165.95960000	4.17111700
-4.73053679	-165.95960000	4.21598000
-4.72797679	-165.95960000	4.17111700
-4.72541679	-161.47340000	4.17111700
-4.72285679	-161.47340000	4.17111700
-4.72029679	-157.00250000	4.12625500
-4.71773679	-157.00250000	4.12625500
-4.71517679	-157.00250000	4.12625500
-4.71261679	-152.51620000	4.12625500
-4.71005679	-152.51620000	4.08154500
-4.70749679	-148.03000000	4.12625500
