Fréquence	Canal B
(kHz)	(dBm)

0.00000000	5.81491700
0.00596046	-1.42029300
0.01192093	-16.70122000
0.01788139	-55.60675000
0.02384186	-55.53282000
0.02980232	-56.25792000
0.03576279	-51.04207000
0.04172325	-42.83511000
0.04768372	-35.48139000
0.05364418	-32.34547000
0.05960464	-33.55637000
0.06556511	-29.05055000
0.07152557	-27.99429000
0.07748604	-31.38947000
0.08344650	-28.13053000
0.08940697	-27.36708000
0.09536743	-30.25427000
0.10132790	-25.18220000
0.10728836	-25.32434000
0.11324883	-26.62883000
0.11920929	-24.75021000
0.12516975	-26.36435000
0.13113022	-23.82843000
0.13709068	-24.13094000
0.14305115	-24.79035000
0.14901161	-23.66525000
0.15497208	-24.11794000
0.16093254	-23.74131000
0.16689301	-30.35043000
0.17285347	-32.62517000
0.17881393	-31.12798000
0.18477440	-27.81360000
0.19073486	-26.33263000
0.19669533	-25.21206000
0.20265579	-25.92860000
0.20861626	-27.84907000
0.21457672	-30.20119000
0.22053719	-30.67251000
0.22649765	-34.77549000
0.23245811	-31.95125000
0.23841858	-31.28765000
0.24437904	-29.71696000
0.25033951	-27.54421000
0.25629997	-32.24171000
0.26226044	-33.88208000
0.26822090	-30.78827000
0.27418137	-28.95258000
0.28014183	-29.89384000
0.28610229	-30.15632000
0.29206276	-31.25303000
0.29802322	-33.80513000
0.30398369	-31.71743000
0.30994415	-28.67545000
0.31590462	-25.90820000
0.32186508	-27.67613000
0.32782555	-27.53859000
0.33378601	-28.84643000
0.33974648	-28.67557000
0.34570694	-30.86841000
0.35166740	-31.80672000
0.35762787	-32.04103000
0.36358833	-32.58823000
0.36954880	-34.42469000
0.37550926	-34.43742000
0.38146973	-37.28202000
0.38743019	-31.75212000
0.39339066	-26.02274000
0.39935112	-28.60804000
0.40531158	-32.14165000
0.41127205	-32.24654000
0.41723251	-31.81704000
0.42319298	-30.08394000
0.42915344	-29.83995000
0.43511391	-33.66148000
0.44107437	-31.22345000
0.44703484	-28.81140000
0.45299530	-33.00913000
0.45895576	-27.93897000
0.46491623	-23.54445000
0.47087669	-25.77860000
0.47683716	-30.54316000
0.48279762	-33.77603000
0.48875809	-32.55204000
0.49471855	-30.51924000
0.50067902	-27.43468000
0.50663948	-26.61834000
0.51259995	-26.78754000
0.51856041	-25.07036000
0.52452087	-27.43475000
0.53048134	-32.19607000
0.53644180	-29.32748000
0.54240227	-32.13173000
0.54836273	-29.47873000
0.55432320	-26.69625000
0.56028366	-30.93345000
0.56624413	-33.46850000
0.57220459	-35.74962000
0.57816505	-32.00669000
0.58412552	-32.20046000
0.59008598	-32.92421000
0.59604645	-37.49573000
0.60200691	-37.10577000
0.60796738	-37.08236000
0.61392784	-30.15391000
0.61988831	-29.37203000
0.62584877	-31.13766000
0.63180923	-35.45482000
0.63776970	-34.19213000
0.64373016	-36.54945000
0.64969063	-35.30749000
0.65565109	-33.71926000
0.66161156	-34.08276000
0.66757202	-35.36710000
0.67353249	-36.32409000
0.67949295	-36.41479000
0.68545341	-32.00522000
0.69141388	-27.71389000
0.69737434	-24.83812000
0.70333481	-25.61295000
0.70929527	-31.98249000
0.71525574	-30.05370000
0.72121620	-29.67160000
0.72717667	-32.60848000
0.73313713	-33.74855000
0.73909760	-27.62720000
0.74505806	-26.58960000
0.75101852	-30.62397000
0.75697899	-30.70619000
0.76293945	-35.61464000
0.76889992	-29.04453000
0.77486038	-29.48392000
0.78082085	-30.62294000
0.78678131	-28.85278000
0.79274178	-32.43877000
0.79870224	-37.22854000
0.80466270	-38.13538000
0.81062317	-39.41205000
0.81658363	-37.72359000
0.82254410	-33.41308000
0.82850456	-33.08663000
0.83446503	-32.40536000
0.84042549	-34.51317000
0.84638596	-35.93333000
0.85234642	-36.21405000
0.85830688	-35.27790000
0.86426735	-35.12010000
0.87022781	-35.24349000
0.87618828	-33.14830000
0.88214874	-32.67141000
0.88810921	-37.04026000
0.89406967	-35.05180000
0.90003014	-32.95960000
0.90599060	-36.30209000
0.91195107	-34.60878000
0.91791153	-33.23355000
0.92387199	-31.44609000
0.92983246	-28.68903000
0.93579292	-29.11563000
0.94175339	-33.03104000
0.94771385	-34.45977000
0.95367432	-39.42555000
0.95963478	-39.39741000
0.96559525	-39.10221000
0.97155571	-39.00938000
0.97751617	-42.65956000
0.98347664	-37.26790000
0.98943710	-35.53635000
0.99539757	-36.93370000
1.00135803	-39.76620000
1.00731850	-38.66843000
1.01327896	-36.24127000
1.01923943	-32.74866000
1.02519989	-33.25308000
1.03116035	-29.21539000
1.03712082	-30.93080000
1.04308128	-29.94379000
1.04904175	-29.28506000
1.05500221	-31.20632000
1.06096268	-32.37029000
1.06692314	-36.51736000
1.07288361	-33.64297000
1.07884407	-34.34177000
1.08480453	-29.69654000
1.09076500	-29.51205000
1.09672546	-33.99311000
1.10268593	-37.60626000
1.10864639	-35.55424000
1.11460686	-38.24687000
1.12056732	-38.42931000
1.12652779	-38.72792000
1.13248825	-38.38545000
1.13844872	-39.13062000
1.14440918	-39.56660000
1.15036964	-41.24142000
1.15633011	-39.23653000
1.16229057	-36.11967000
1.16825104	-33.00628000
1.17421150	-33.60469000
1.18017197	-34.08870000
1.18613243	-34.33944000
1.19209290	-37.73174000
1.19805336	-38.03923000
1.20401382	-39.71194000
1.20997429	-41.00448000
1.21593475	-42.64626000
1.22189522	-39.63181000
1.22785568	-36.31387000
1.23381615	-33.69933000
1.23977661	-28.42062000
1.24573708	-27.32795000
1.25169754	-27.84898000
1.25765800	-30.30022000
1.26361847	-33.93252000
1.26957893	-33.64505000
1.27553940	-35.48342000
1.28149986	-38.45488000
1.28746033	-37.01509000
1.29342079	-35.47466000
1.29938126	-35.12809000
1.30534172	-35.77000000
1.31130219	-34.94747000
1.31726265	-35.69368000
1.32322311	-35.84017000
1.32918358	-33.45635000
1.33514404	-33.87201000
1.34110451	-39.57829000
1.34706497	-38.12798000
1.35302544	-39.73260000
1.35898590	-42.12379000
1.36494637	-39.24143000
1.37090683	-42.77650000
1.37686729	-38.94477000
1.38282776	-35.87132000
1.38878822	-30.49372000
1.39474869	-30.38131000
1.40070915	-33.00949000
1.40666962	-34.50388000
1.41263008	-34.25682000
1.41859055	-35.81802000
1.42455101	-36.18163000
1.43051147	-35.50232000
1.43647194	-35.28508000
1.44243240	-35.89948000
1.44839287	-36.76315000
1.45435333	-37.41700000
1.46031380	-37.27161000
1.46627426	-35.94783000
1.47223473	-33.50937000
1.47819519	-31.51405000
1.48415565	-36.06649000
1.49011612	-33.56485000
1.49607658	-32.36334000
1.50203705	-30.67646000
1.50799751	-32.54265000
1.51395798	-31.74385000
1.51991844	-32.47101000
1.52587891	-36.99390000
1.53183937	-35.21039000
1.53779984	-35.34031000
1.54376030	-34.04901000
1.54972076	-32.05849000
1.55568123	-32.36855000
1.56164169	-31.22528000
1.56760216	-32.22577000
1.57356262	-31.92649000
1.57952309	-29.01410000
1.58548355	-28.86181000
1.59144402	-31.68701000
1.59740448	-34.20086000
1.60336494	-39.84285000
1.60932541	-38.89056000
1.61528587	-32.79008000
1.62124634	-30.02526000
1.62720680	-31.65493000
1.63316727	-34.14170000
1.63912773	-30.21177000
1.64508820	-29.53522000
1.65104866	-29.86749000
1.65700912	-30.31950000
1.66296959	-26.83796000
1.66893005	-26.62980000
1.67489052	-28.44159000
1.68085098	-32.13550000
1.68681145	-34.63359000
1.69277191	-34.40200000
1.69873238	-29.63080000
1.70469284	-29.37957000
1.71065331	-32.96778000
1.71661377	-38.81072000
1.72257423	-37.82104000
1.72853470	-36.65054000
1.73449516	-33.00511000
1.74045563	-31.03638000
1.74641609	-31.44037000
1.75237656	-32.62380000
1.75833702	-28.06970000
1.76429749	-27.40720000
1.77025795	-31.20479000
1.77621841	-35.09039000
1.78217888	-34.81440000
1.78813934	-37.24311000
1.79409981	-40.08618000
1.80006027	-37.27633000
1.80602074	-39.47348000
1.81198120	-38.08061000
1.81794167	-36.44413000
1.82390213	-36.22405000
1.82986259	-37.46124000
1.83582306	-36.00671000
1.84178352	-33.33294000
1.84774399	-30.85319000
1.85370445	-29.01821000
1.85966492	-25.41437000
1.86562538	-25.14213000
1.87158585	-25.86699000
1.87754631	-29.48068000
1.88350677	-29.81895000
1.88946724	-32.08387000
1.89542770	-33.95813000
1.90138817	-34.97889000
1.90734863	-35.23912000
1.91330910	-35.17851000
1.91926956	-39.22456000
1.92523003	-40.37873000
1.93119049	-39.71686000
1.93715096	-38.36750000
1.94311142	-37.00601000
1.94907188	-34.74125000
1.95503235	-33.23855000
1.96099281	-32.04758000
1.96695328	-35.22145000
1.97291374	-32.22761000
1.97887421	-30.46839000
1.98483467	-31.07978000
1.99079514	-31.73678000
1.99675560	-31.70723000
2.00271606	-31.87716000
2.00867653	-36.68465000
2.01463699	-36.89684000
2.02059746	-35.61051000
2.02655792	-31.55562000
2.03251839	-35.72407000
2.03847885	-38.26312000
2.04443932	-39.12711000
2.05039978	-38.96457000
2.05636024	-33.60071000
2.06232071	-32.42584000
2.06828117	-31.22663000
2.07424164	-30.61366000
2.08020210	-29.43793000
2.08616257	-31.13209000
2.09212303	-28.61524000
2.09808350	-31.86828000
2.10404396	-32.88675000
2.11000443	-34.58376000
2.11596489	-32.38586000
2.12192535	-31.10417000
2.12788582	-34.29977000
2.13384628	-36.91213000
2.13980675	-38.67632000
2.14576721	-37.50072000
2.15172768	-34.87025000
2.15768814	-29.83909000
2.16364861	-28.88226000
2.16960907	-31.34629000
2.17556953	-30.79572000
2.18153000	-29.75117000
2.18749046	-32.08328000
2.19345093	-35.86912000
2.19941139	-36.37002000
2.20537186	-32.13491000
2.21133232	-30.32008000
2.21729279	-31.00866000
2.22325325	-28.42665000
2.22921371	-28.42898000
2.23517418	-31.94607000
2.24113464	-30.08890000
2.24709511	-29.39841000
2.25305557	-34.44894000
2.25901604	-36.65550000
2.26497650	-37.71207000
2.27093697	-35.93565000
2.27689743	-34.84419000
2.28285789	-36.06193000
2.28881836	-35.73120000
2.29477882	-35.04478000
2.30073929	-30.94360000
2.30669975	-31.13467000
2.31266022	-29.65204000
2.31862068	-30.65034000
2.32458115	-27.46182000
2.33054161	-25.00493000
2.33650208	-26.51882000
2.34246254	-30.15066000
2.34842300	-29.64579000
2.35438347	-26.31255000
2.36034393	-27.71386000
2.36630440	-31.14647000
2.37226486	-36.66769000
2.37822533	-37.86073000
2.38418579	-37.96741000
2.39014626	-38.92064000
2.39610672	-37.92313000
2.40206718	-34.96745000
2.40802765	-35.24483000
2.41398811	-35.48891000
2.41994858	-35.05180000
2.42590904	-37.39296000
2.43186951	-36.49906000
2.43782997	-35.25573000
2.44379044	-32.47009000
2.44975090	-31.68328000
2.45571136	-34.90056000
2.46167183	-36.13908000
2.46763229	-35.60238000
2.47359276	-29.80470000
2.47955322	-25.70918000
2.48551369	-29.43073000
2.49147415	-24.94791000
2.49743462	-26.48332000
2.50339508	-29.84769000
2.50935555	-30.94098000
2.51531601	-31.21568000
2.52127647	-32.42371000
2.52723694	-33.17960000
2.53319740	-33.52890000
2.53915787	-34.31421000
2.54511833	-36.45142000
2.55107880	-38.33159000
2.55703926	-37.74016000
2.56299973	-38.63170000
2.56896019	-38.14650000
2.57492065	-37.89329000
2.58088112	-36.46949000
2.58684158	-36.38144000
2.59280205	-35.75975000
2.59876251	-35.45528000
2.60472298	-34.71504000
2.61068344	-36.17391000
2.61664391	-36.54680000
2.62260437	-36.02932000
2.62856483	-33.80667000
2.63452530	-32.95636000
2.64048576	-36.83558000
2.64644623	-39.28386000
2.65240669	-38.58924000
2.65836716	-40.70398000
2.66432762	-42.16423000
2.67028809	-44.44817000
2.67624855	-43.23690000
2.68220901	-42.03209000
2.68816948	-38.87433000
2.69412994	-38.77369000
2.70009041	-39.33786000
2.70605087	-37.66895000
2.71201134	-39.17311000
2.71797180	-42.59623000
2.72393227	-39.80844000
2.72989273	-35.10223000
2.73585320	-36.75298000
2.74181366	-36.06736000
2.74777412	-33.28679000
2.75373459	-34.39007000
2.75969505	-36.61409000
2.76565552	-34.78889000
2.77161598	-35.08320000
2.77757645	-32.43881000
2.78353691	-32.54016000
2.78949738	-34.73463000
2.79545784	-33.21749000
2.80141830	-32.29802000
2.80737877	-33.15640000
2.81333923	-33.87276000
2.81929970	-34.82790000
2.82526016	-37.43539000
2.83122063	-40.90594000
2.83718109	-39.71787000
2.84314156	-39.11296000
2.84910202	-40.61931000
2.85506248	-40.11180000
2.86102295	-40.43028000
2.86698341	-42.67667000
2.87294388	-44.19602000
2.87890434	-40.82679000
2.88486481	-35.95473000
2.89082527	-35.79833000
2.89678574	-34.27050000
2.90274620	-33.20903000
2.90870667	-35.05226000
2.91466713	-38.74561000
2.92062759	-38.55006000
2.92658806	-38.17176000
2.93254852	-37.53921000
2.93850899	-38.36951000
2.94446945	-38.73708000
2.95042992	-41.64083000
2.95639038	-40.38692000
2.96235085	-39.01211000
2.96831131	-36.90309000
2.97427177	-33.40688000
2.98023224	-32.16697000
2.98619270	-34.11697000
