time	I(R10)
0.000000000000000e+00	-9.226947e-20
2.420386113755058e-11	-4.661073e-20
9.681544455020230e-11	2.545914e-19
2.823715155233845e-08	-4.014125e-10
5.637748766012670e-08	-5.116420e-10
8.451782376791494e-08	-3.306884e-10
1.126581598757032e-07	1.414483e-10
1.407984959834914e-07	9.047680e-10
1.689388320912797e-07	1.959271e-09
1.970791681990679e-07	3.304957e-09
2.454225572818226e-07	1.007895e-08
2.761439354650356e-07	1.725290e-08
3.126409934245425e-07	2.925045e-08
3.598341267370637e-07	5.124516e-08
4.180283030308976e-07	9.001002e-08
4.949244707186132e-07	1.637124e-07
5.957264392345090e-07	3.039601e-07
7.385288587370214e-07	5.961882e-07
9.532377400573379e-07	1.258832e-06
1.321612254742584e-06	3.066233e-06
2.058361284113077e-06	9.160557e-06
3.498564367022873e-06	2.965359e-05
5.918950496108935e-06	8.418156e-05
8.339336625194996e-06	1.631627e-04
1.075972275428106e-05	2.687731e-04
1.318010888336712e-05	4.003475e-04
1.560049501245318e-05	5.572343e-04
1.802088114153925e-05	7.387956e-04
2.044126727062531e-05	9.444065e-04
2.286165339971137e-05	1.173455e-03
2.528203952879743e-05	1.425339e-03
2.770242565788350e-05	1.699472e-03
3.012281178696956e-05	1.995276e-03
3.254319791605562e-05	2.312185e-03
3.496358404514168e-05	2.649643e-03
3.738397017422774e-05	3.007104e-03
3.980435630331381e-05	3.384033e-03
4.222474243239987e-05	3.779903e-03
4.464512856148593e-05	4.194199e-03
4.706551469057199e-05	4.626411e-03
4.948590081965806e-05	5.076187e-03
5.432667307783018e-05	6.027478e-03
5.916744533600231e-05	7.043015e-03
6.642860372326048e-05	8.677813e-03
7.368976211051865e-05	1.043573e-02
8.095092049777681e-05	1.230525e-02
8.613746220296123e-05	1.371190e-02
9.132400390814563e-05	1.515676e-02
9.651054561333004e-05	1.663984e-02
1.016970873185144e-04	1.816113e-02
1.068836290236989e-04	1.972064e-02
1.120701707288833e-04	2.131837e-02
1.172567124340676e-04	2.295430e-02
1.196770985631537e-04	2.371785e-02
1.220974846922398e-04	2.442276e-02
1.236768354189545e-04	2.480287e-02
1.249714639423783e-04	2.508925e-02
1.336232734105801e-04	2.707959e-02
1.360436595396662e-04	2.765761e-02
1.384640456687522e-04	2.828120e-02
