Freq.	V(out)	V(s)
1.00000000000000e+01	5.98299572208827e+01	5.98316287028582e+01
1.07977516232771e+01	5.98024464807815e+01	5.98043260915880e+01
1.16591440117983e+01	5.97705941092489e+01	5.97727130668367e+01
1.25892541179417e+01	5.97337553457148e+01	5.97361489560591e+01
1.35935639087853e+01	5.96912031611059e+01	5.96939111573322e+01
1.46779926762207e+01	5.96421221853236e+01	5.96451890284527e+01
1.58489319246111e+01	5.95856036905096e+01	5.95890788045261e+01
1.71132830416178e+01	5.95206422354989e+01	5.95245801430470e+01
1.84784979742229e+01	5.94461347015161e+01	5.94505950203886e+01
1.99526231496888e+01	5.93608825598837e+01	5.93659298155176e+01
2.15443469003188e+01	5.92635982875836e+01	5.92693014942901e+01
2.32630506715363e+01	5.91529168576947e+01	5.91593488229056e+01
2.51188643150958e+01	5.90274131460651e+01	5.90346494592243e+01
2.71227257933203e+01	5.88856258799049e+01	5.88937435623590e+01
2.92864456462524e+01	5.87260883824601e+01	5.87351641978005e+01
3.16227766016838e+01	5.85473658323645e+01	5.85574742879496e+01
3.41454887383360e+01	5.83480980775403e+01	5.83593091854516e+01
3.68694506451957e+01	5.81270462808139e+01	5.81394231862332e+01
3.98107170553497e+01	5.78831409274473e+01	5.78967375484013e+01
4.29866234708228e+01	5.76155281247095e+01	5.76303869721479e+01
4.64158883361278e+01	5.73236108101280e+01	5.73397611645327e+01
5.01187233627272e+01	5.70070815724946e+01	5.70245381780270e+01
5.41169526546464e+01	5.66659443306224e+01	5.66847067294845e+01
5.84341413373518e+01	5.63005230736685e+01	5.63205756460106e+01
6.30957344480193e+01	5.59114571156443e+01	5.59327698224916e+01
6.81292069057961e+01	5.54996836585814e+01	5.55222134179298e+01
7.35642254459641e+01	5.50664096734081e+01	5.50901022437876e+01
7.94328234724281e+01	5.46130760047456e+01	5.46378682143489e+01
8.57695898590894e+01	5.41413170688238e+01	5.41671392154493e+01
9.26118728128793e+01	5.36529195187553e+01	5.36796977752258e+01
