time	V(out)
0.000000000000000e+00	1.861576e-19
2.420386113755058e-11	2.447659e-12
4.516569611359473e-11	6.385462e-12
8.708936606568304e-11	2.194948e-11
1.709367059698597e-10	7.408837e-11
4.949864955431892e-10	2.978920e-10
2.616091653428317e-09	1.315075e-10
4.737196811313445e-09	4.084946e-10
6.858301969198572e-09	1.128854e-09
8.979407127083699e-09	2.292584e-09
1.110051228496883e-08	3.899686e-09
1.322161744285396e-08	5.950161e-09
1.534272260073908e-08	8.444006e-09
4.361942175140638e-08	8.295508e-08
7.189612090207367e-08	4.244503e-08
1.001728200527410e-07	-1.130861e-07
1.284495192034083e-07	-3.836384e-07
1.567262183540756e-07	-7.692118e-07
1.850029175047429e-07	-1.269806e-06
2.132796166554101e-07	-1.885422e-06
4.823372229008339e-07	-1.157768e-05
8.598697922241657e-07	-3.247855e-05
1.140419329380392e-06	-5.118049e-05
1.529764694865732e-06	-7.947764e-05
1.943589761975874e-06	-1.112205e-04
2.480363368099042e-06	-1.536792e-04
3.146678833861261e-06	-2.071400e-04
4.083658262736525e-06	-2.827711e-04
5.457130533422297e-06	-3.938500e-04
7.759874395433317e-06	-5.801963e-04
1.018026052451938e-05	-7.761337e-04
1.260064665360544e-05	-9.721455e-04
1.502103278269150e-05	-1.168230e-03
1.744141891177757e-05	-1.364381e-03
1.915530769835635e-05	-1.503316e-03
2.045688998343335e-05	-1.608854e-03
2.195430518900175e-05	-1.730297e-03
2.395033643551456e-05	-1.892220e-03
2.637072256460062e-05	-2.088620e-03
2.879110869368669e-05	-2.285078e-03
3.121149482277275e-05	-2.481596e-03
3.363188095185881e-05	-2.678170e-03
3.605226708094487e-05	-2.874799e-03
3.847265321003093e-05	-3.071482e-03
4.089303933911700e-05	-3.268217e-03
4.573381159728912e-05	-3.661834e-03
5.057458385546125e-05	-4.055639e-03
5.541535611363337e-05	-4.449620e-03
6.025612837180550e-05	-4.843766e-03
6.751728675906366e-05	-5.435271e-03
7.477844514632183e-05	-6.027090e-03
8.203960353358000e-05	-6.619195e-03
9.033807026187504e-05	-7.296271e-03
9.863653699017010e-05	-7.973574e-03
1.069350037184652e-04	-8.651106e-03
1.152334704467602e-04	-9.328867e-03
1.235319371750552e-04	-1.000686e-02
1.318304039033503e-04	-1.068507e-02
1.401288706316453e-04	-1.136352e-02
1.518850318300633e-04	-1.232489e-02
1.636411930284813e-04	-1.328643e-02
1.753973542268993e-04	-1.424812e-02
1.871535154253173e-04	-1.520998e-02
1.989096766237353e-04	-1.617200e-02
2.106658378221533e-04	-1.713418e-02
2.224219990205712e-04	-1.809652e-02
2.327950824309401e-04	-1.894566e-02
2.431681658413089e-04	-1.979482e-02
2.535412492516777e-04	-2.064400e-02
2.639143326620465e-04	-2.149321e-02
2.742874160724153e-04	-2.234243e-02
2.846604994827841e-04	-2.319167e-02
2.950335828931529e-04	-2.404093e-02
3.036778190684602e-04	-2.474863e-02
3.123220552437676e-04	-2.545632e-02
3.209662914190749e-04	-2.616400e-02
3.296105275943823e-04	-2.687166e-02
3.382547637696896e-04	-2.757931e-02
3.468989999449970e-04	-2.828694e-02
3.555432361203043e-04	-2.899456e-02
3.676451667657346e-04	-2.998520e-02
3.797470974111648e-04	-3.097578e-02
3.918490280565951e-04	-3.196630e-02
4.039509587020254e-04	-3.295676e-02
4.160528893474557e-04	-3.394716e-02
4.281548199928860e-04	-3.493751e-02
4.402567506383162e-04	-3.592780e-02
4.471721395785621e-04	-3.649364e-02
4.540875285188080e-04	-3.705946e-02
4.610029174590539e-04	-3.762526e-02
4.679183063992998e-04	-3.819103e-02
4.748336953395456e-04	-3.875677e-02
4.817490842797915e-04	-3.932249e-02
4.886644732200374e-04	-3.988818e-02
4.948883232662588e-04	-4.039729e-02
5.011121733124802e-04	-4.090637e-02
5.073360233587016e-04	-4.141542e-02
5.135598734049231e-04	-4.192446e-02
5.197837234511445e-04	-4.243347e-02
5.260075734973659e-04	-4.294246e-02
5.322314235435873e-04	-4.345142e-02
5.384552735898088e-04	-4.396037e-02
5.446791236360302e-04	-4.446928e-02
5.509029736822516e-04	-4.497817e-02
5.571268237284730e-04	-4.548704e-02
5.633506737746945e-04	-4.599588e-02
5.695745238209159e-04	-4.650469e-02
5.757983738671373e-04	-4.701348e-02
5.840968405954325e-04	-4.769183e-02
5.923953073237278e-04	-4.837013e-02
6.006937740520230e-04	-4.904838e-02
6.089922407803182e-04	-4.972657e-02
6.172907075086135e-04	-5.040472e-02
6.255891742369087e-04	-5.108282e-02
6.338876409652040e-04	-5.176087e-02
6.397657215644131e-04	-5.224113e-02
6.456438021636222e-04	-5.272135e-02
6.515218827628313e-04	-5.320155e-02
6.573999633620404e-04	-5.368172e-02
6.632780439612496e-04	-5.416187e-02
6.691561245604587e-04	-5.464199e-02
6.750342051596678e-04	-5.512208e-02
6.822953635469262e-04	-5.571510e-02
6.847157496760123e-04	-5.591276e-02
6.871361358050984e-04	-5.611041e-02
6.919769080632706e-04	-5.650571e-02
6.944149495817986e-04	-5.670480e-02
6.948747968146252e-04	-5.674235e-02
6.953346440474517e-04	-5.677990e-02
6.957944912802783e-04	-5.681745e-02
6.962543385131048e-04	-5.685500e-02
6.967141857459314e-04	-5.689255e-02
6.971740329787579e-04	-5.693009e-02
6.976338802115845e-04	-5.696764e-02
6.986355062085855e-04	-5.704943e-02
6.993071580749969e-04	-5.710427e-02
7.008582406494564e-04	-5.723092e-02
7.061557031675970e-04	-5.766345e-02
7.137626310018677e-04	-5.828451e-02
7.213695588361383e-04	-5.890551e-02
7.289764866704089e-04	-5.952647e-02
7.365834145046796e-04	-6.014737e-02
7.441903423389502e-04	-6.076822e-02
7.517972701732208e-04	-6.138902e-02
7.594041980074915e-04	-6.200977e-02
7.683942036298113e-04	-6.274332e-02
7.773842092521311e-04	-6.347679e-02
7.863742148744510e-04	-6.421018e-02
7.953642204967708e-04	-6.494350e-02
8.043542261190906e-04	-6.567673e-02
8.133442317414105e-04	-6.640990e-02
8.223342373637303e-04	-6.714298e-02
8.295953957509886e-04	-6.773502e-02
8.368565541382470e-04	-6.832702e-02
8.441177125255053e-04	-6.891895e-02
8.513788709127636e-04	-6.951084e-02
8.586400293000220e-04	-7.010267e-02
8.659011876872803e-04	-7.069444e-02
8.731623460745386e-04	-7.128616e-02
8.755827322036247e-04	-7.148339e-02
8.780031183327108e-04	-7.168061e-02
8.804235044617970e-04	-7.187783e-02
8.828438905908831e-04	-7.207504e-02
8.852642767199692e-04	-7.227224e-02
8.901050489781414e-04	-7.266663e-02
8.949458212363136e-04	-7.306099e-02
9.022069796235719e-04	-7.365248e-02
9.094681380108303e-04	-7.424392e-02
9.167292963980886e-04	-7.483529e-02
9.239904547853469e-04	-7.542662e-02
9.329804604076668e-04	-7.615864e-02
9.419704660299866e-04	-7.689058e-02
9.509604716523064e-04	-7.762242e-02
9.599504772746263e-04	-7.835417e-02
9.689404828969461e-04	-7.908582e-02
9.779304885192660e-04	-7.981737e-02
9.869204941415858e-04	-8.054884e-02
9.931443441878072e-04	-8.105518e-02
9.993681942340286e-04	-8.156147e-02
1.005592044280250e-03	-8.206771e-02
1.011815894326471e-03	-8.257391e-02
1.018039744372693e-03	-8.308006e-02
1.024263594418914e-03	-8.358616e-02
1.030487444465136e-03	-8.409221e-02
1.036711294511357e-03	-8.459822e-02
1.042935144557579e-03	-8.510417e-02
1.049158994603800e-03	-8.561008e-02
1.055382844650021e-03	-8.611593e-02
1.061606694696243e-03	-8.662173e-02
1.067830544742464e-03	-8.712749e-02
1.074054394788686e-03	-8.763319e-02
1.076474780917772e-03	-8.782984e-02
1.078895167046858e-03	-8.802648e-02
1.081315553175944e-03	-8.822311e-02
1.082633678029215e-03	-8.833020e-02
1.083934151405157e-03	-8.843584e-02
1.086896680974339e-03	-8.867650e-02
1.089305427432111e-03	-8.887217e-02
1.091714173889883e-03	-8.906782e-02
1.094122920347655e-03	-8.926347e-02
1.096531666805428e-03	-8.945911e-02
1.098940413263200e-03	-8.965474e-02
1.101349159720972e-03	-8.985036e-02
1.103757906178745e-03	-9.004597e-02
1.108598678436917e-03	-9.043907e-02
1.113439450695089e-03	-9.083214e-02
1.115859836824175e-03	-9.102866e-02
1.118280222953261e-03	-9.122517e-02
1.120700609082347e-03	-9.142167e-02
1.125541381340520e-03	-9.181466e-02
1.130382153598692e-03	-9.220761e-02
1.137643311985950e-03	-9.279698e-02
1.145941778714245e-03	-9.347045e-02
1.154240245442541e-03	-9.414383e-02
1.162538712170836e-03	-9.481710e-02
1.170837178899131e-03	-9.549028e-02
1.179135645627426e-03	-9.616336e-02
1.187434112355722e-03	-9.683634e-02
1.195732579084017e-03	-9.750922e-02
1.207834509729447e-03	-9.849032e-02
1.219936440374878e-03	-9.947120e-02
1.232038371020308e-03	-1.004519e-01
1.244140301665739e-03	-1.014323e-01
1.256242232311170e-03	-1.024125e-01
1.268344162956600e-03	-1.033925e-01
1.280446093602031e-03	-1.043722e-01
1.289090329777338e-03	-1.050719e-01
1.297734565952646e-03	-1.057715e-01
1.306378802127953e-03	-1.064709e-01
1.315023038303261e-03	-1.071703e-01
1.323667274478568e-03	-1.078695e-01
1.332311510653876e-03	-1.085685e-01
1.340955746829183e-03	-1.092675e-01
1.352020369133577e-03	-1.101620e-01
1.363084991437971e-03	-1.110563e-01
1.374149613742364e-03	-1.119503e-01
1.385214236046758e-03	-1.128442e-01
1.396278858351152e-03	-1.137378e-01
1.407343480655545e-03	-1.146313e-01
1.418408102959939e-03	-1.155245e-01
1.427052339135246e-03	-1.162222e-01
1.435696575310554e-03	-1.169197e-01
1.444340811485861e-03	-1.176172e-01
1.452985047661169e-03	-1.183144e-01
1.461629283836477e-03	-1.190116e-01
1.470273520011784e-03	-1.197086e-01
1.478917756187092e-03	-1.204055e-01
1.485141606233313e-03	-1.209071e-01
1.491365456279534e-03	-1.214087e-01
1.497589306325756e-03	-1.219102e-01
1.503813156371977e-03	-1.224117e-01
1.510037006418199e-03	-1.229131e-01
1.516260856464420e-03	-1.234144e-01
1.522484706510642e-03	-1.239156e-01
1.529745864897900e-03	-1.245003e-01
1.537007023285158e-03	-1.250849e-01
1.544268181672417e-03	-1.256693e-01
1.551529340059675e-03	-1.262537e-01
1.558790498446933e-03	-1.268380e-01
1.566051656834192e-03	-1.274221e-01
1.573312815221450e-03	-1.280062e-01
1.581265512502733e-03	-1.286458e-01
1.589218209784016e-03	-1.292852e-01
1.597170907065299e-03	-1.299246e-01
1.605123604346582e-03	-1.305637e-01
1.613076301627865e-03	-1.312028e-01
1.621028998909148e-03	-1.318418e-01
1.628981696190430e-03	-1.324806e-01
1.633822468448603e-03	-1.328694e-01
1.638663240706775e-03	-1.332581e-01
1.643504012964947e-03	-1.336468e-01
1.648344785223119e-03	-1.340354e-01
1.653185557481292e-03	-1.344240e-01
1.658026329739464e-03	-1.348125e-01
1.662867101997636e-03	-1.352010e-01
1.667707874255808e-03	-1.355895e-01
1.670128260384894e-03	-1.357837e-01
1.674969032643067e-03	-1.361721e-01
1.678131880763702e-03	-1.364258e-01
1.678559189115173e-03	-1.364601e-01
1.678986497466645e-03	-1.364943e-01
1.679413805818116e-03	-1.365286e-01
1.679841114169588e-03	-1.365629e-01
1.680268422521060e-03	-1.365972e-01
1.680695730872531e-03	-1.366314e-01
1.681123039224003e-03	-1.366657e-01
1.682197904301968e-03	-1.367519e-01
1.682873459262500e-03	-1.368061e-01
1.683652514240225e-03	-1.368686e-01
1.689672141839246e-03	-1.373514e-01
1.695691769438267e-03	-1.378341e-01
1.701711397037288e-03	-1.383167e-01
1.707731024636310e-03	-1.387992e-01
1.713750652235331e-03	-1.392817e-01
1.719770279834352e-03	-1.397641e-01
1.725789907433373e-03	-1.402464e-01
1.736162990843742e-03	-1.410773e-01
1.746536074254111e-03	-1.419080e-01
1.756909157664480e-03	-1.427385e-01
1.767282241074849e-03	-1.435687e-01
1.777655324485218e-03	-1.443987e-01
1.788028407895587e-03	-1.452284e-01
1.798401491305956e-03	-1.460579e-01
1.803933802458153e-03	-1.465003e-01
1.809466113610350e-03	-1.469425e-01
1.814998424762546e-03	-1.473847e-01
1.820530735914743e-03	-1.478268e-01
1.826063047066940e-03	-1.482688e-01
1.831595358219137e-03	-1.487108e-01
1.837127669371334e-03	-1.491526e-01
1.839548055500420e-03	-1.493459e-01
1.844388827758592e-03	-1.497325e-01
1.851649986145850e-03	-1.503123e-01
1.858911144533109e-03	-1.508919e-01
1.869284227943478e-03	-1.517197e-01
1.879657311353847e-03	-1.525473e-01
1.890030394764216e-03	-1.533746e-01
1.900403478174585e-03	-1.542017e-01
1.910776561584954e-03	-1.550285e-01
1.921149644995323e-03	-1.558551e-01
1.931522728405692e-03	-1.566814e-01
1.939821195133987e-03	-1.573422e-01
1.948119661862283e-03	-1.580029e-01
1.956418128590578e-03	-1.586634e-01
1.964716595318873e-03	-1.593238e-01
1.973015062047168e-03	-1.599839e-01
1.981313528775463e-03	-1.606439e-01
1.989611995503758e-03	-1.613038e-01
1.995835845549980e-03	-1.617985e-01
2.002059695596201e-03	-1.622932e-01
2.008283545642423e-03	-1.627878e-01
2.014507395688644e-03	-1.632822e-01
2.020731245734866e-03	-1.637766e-01
2.026955095781087e-03	-1.642709e-01
2.033178945827308e-03	-1.647651e-01
2.039748565320542e-03	-1.652866e-01
2.046318184813776e-03	-1.658080e-01
2.052887804307010e-03	-1.663293e-01
2.059457423800243e-03	-1.668505e-01
