time	I(R16)
0.000000000000000e+00	-7.173895e-05
2.420386113755058e-11	-7.183860e-05
4.516569610660061e-11	-7.185591e-05
1.709367059209009e-10	-7.165334e-05
8.765520041792391e-10	-7.132179e-05
1.582167302437577e-09	-7.105840e-05
2.287782600695916e-09	-7.086317e-05
2.993397898954254e-09	-7.073609e-05
3.699013197212592e-09	-7.067718e-05
4.404628495470931e-09	-7.068642e-05
5.110243793729267e-09	-7.076382e-05
2.251495940974176e-08	-7.078726e-05
3.847277200589830e-08	-7.146513e-05
6.100232536044751e-08	-7.323144e-05
7.584101459908338e-08	-7.495863e-05
9.305994752031996e-08	-7.761531e-05
1.201181348372613e-07	-8.318869e-05
1.653130151031835e-07	-9.537327e-05
2.124674016845290e-07	-1.116467e-04
2.761154636668609e-07	-1.385595e-04
3.605502439360055e-07	-1.794210e-04
6.228202573370880e-07	-3.136721e-04
8.101434327083687e-07	-4.048284e-04
1.041092577925400e-06	-5.138633e-04
1.502990868359463e-06	-7.315026e-04
1.960669196431775e-06	-9.496826e-04
2.365149450372291e-06	-1.142349e-03
2.781835206678642e-06	-1.339372e-03
3.201756823891474e-06	-1.537987e-03
4.041600058317139e-06	-1.934993e-03
5.003744499226209e-06	-2.389721e-03
6.539385219214707e-06	-3.115291e-03
8.763723335775500e-06	-4.165730e-03
1.118410946486156e-05	-5.307874e-03
1.360449559394763e-05	-6.448827e-03
1.602488172303369e-05	-7.588304e-03
1.844526785211975e-05	-8.726253e-03
1.985055415287089e-05	-9.386065e-03
2.131423914781732e-05	-1.007239e-02
2.282871921434061e-05	-1.078150e-02
2.524910534342667e-05	-1.191273e-02
2.766949147251273e-05	-1.304145e-02
3.008987760159880e-05	-1.416719e-02
3.251026373068486e-05	-1.528965e-02
3.493064985977092e-05	-1.640859e-02
3.735103598885698e-05	-1.752375e-02
3.977142211794305e-05	-1.863487e-02
4.461219437611517e-05	-2.084399e-02
4.945296663428730e-05	-2.303389e-02
5.429373889245942e-05	-2.520256e-02
5.913451115063155e-05	-2.734798e-02
6.639566953788972e-05	-3.051819e-02
7.365682792514789e-05	-3.362504e-02
8.091798631240605e-05	-3.666206e-02
8.817914469966422e-05	-3.962294e-02
9.682338087497157e-05	-4.306261e-02
1.054676170502789e-04	-4.635255e-02
1.141118532255863e-04	-4.949275e-02
1.227560894008936e-04	-5.248321e-02
1.314003255762010e-04	-5.532395e-02
1.400445617515083e-04	-5.801494e-02
1.486887979268156e-04	-6.055621e-02
1.604449591252336e-04	-6.372553e-02
1.722011203236516e-04	-6.651578e-02
1.839572815220696e-04	-6.892696e-02
1.957134427204876e-04	-7.095908e-02
2.074696039189056e-04	-7.261213e-02
2.192257651173235e-04	-7.388611e-02
2.309819263157415e-04	-7.478102e-02
2.410092402790980e-04	-7.519732e-02
2.510365542424546e-04	-7.531779e-02
2.610638682058111e-04	-7.514244e-02
2.710911821691676e-04	-7.467126e-02
2.811184961325241e-04	-7.390426e-02
2.911458100958806e-04	-7.284144e-02
3.011731240592371e-04	-7.148279e-02
3.091258213405199e-04	-7.019756e-02
3.170785186218027e-04	-6.874754e-02
3.250312159030854e-04	-6.713274e-02
3.329839131843681e-04	-6.535315e-02
3.409366104656509e-04	-6.340878e-02
3.488893077469336e-04	-6.129962e-02
3.568420050282164e-04	-5.902568e-02
3.689439356736467e-04	-5.523800e-02
3.810458663190770e-04	-5.119433e-02
3.931477969645072e-04	-4.689465e-02
4.052497276099375e-04	-4.233897e-02
4.173516582553678e-04	-3.752729e-02
4.294535889007981e-04	-3.245961e-02
4.415555195462284e-04	-2.713592e-02
4.484709084864742e-04	-2.404546e-02
4.553862974267201e-04	-2.092464e-02
4.623016863669660e-04	-1.777346e-02
4.692170753072119e-04	-1.459193e-02
4.761324642474577e-04	-1.138005e-02
4.830478531877036e-04	-8.137815e-03
4.899632421279495e-04	-4.865225e-03
4.948040143861217e-04	-2.579243e-03
4.972244005152078e-04	-1.435574e-03
4.985442223987214e-04	-8.122720e-04
4.996984521714849e-04	-2.665353e-04
5.024586762450564e-04	1.040290e-03
5.043171667652459e-04	1.918958e-03
5.061756572854356e-04	2.796664e-03
5.080341478056251e-04	3.673409e-03
5.098926383258148e-04	4.549192e-03
5.117511288460044e-04	5.424014e-03
5.136096193661940e-04	6.297874e-03
5.154681098863836e-04	7.170772e-03
5.227292682736419e-04	1.056869e-02
5.286073488728510e-04	1.331095e-02
5.344854294720601e-04	1.602544e-02
5.403635100712693e-04	1.871217e-02
5.462415906704784e-04	2.137112e-02
5.521196712696875e-04	2.400231e-02
5.579977518688966e-04	2.660572e-02
5.638758324681058e-04	2.918137e-02
5.700996825143272e-04	3.186523e-02
5.763235325605486e-04	3.449048e-02
5.825473826067700e-04	3.705713e-02
5.887712326529915e-04	3.956517e-02
5.949950826992129e-04	4.201461e-02
6.012189327454343e-04	4.440545e-02
6.074427827916557e-04	4.673768e-02
6.153954800729387e-04	4.961689e-02
6.233481773542216e-04	5.235611e-02
6.313008746355045e-04	5.495534e-02
6.392535719167875e-04	5.741458e-02
6.472062691980704e-04	5.973383e-02
6.551589664793533e-04	6.191309e-02
6.631116637606363e-04	6.395236e-02
6.662235887837470e-04	6.470191e-02
6.693355138068577e-04	6.542606e-02
6.724474388299684e-04	6.612479e-02
6.755593638530791e-04	6.679812e-02
6.786712888761898e-04	6.744604e-02
6.817832138993005e-04	6.806854e-02
6.848951389224113e-04	6.866564e-02
6.873155250514974e-04	6.911141e-02
6.921562973096696e-04	6.995667e-02
6.945346626134262e-04	7.034960e-02
6.950467667533624e-04	7.043164e-02
6.955588708932985e-04	7.051293e-02
6.960709750332347e-04	7.059347e-02
6.965830791731708e-04	7.067327e-02
6.970951833131070e-04	7.075231e-02
6.976072874530432e-04	7.083061e-02
6.981193915929794e-04	7.090817e-02
6.989715770558770e-04	7.103612e-02
6.998138995718950e-04	7.116044e-02
7.056335763310007e-04	7.196395e-02
7.114532530901064e-04	7.266961e-02
7.172729298492121e-04	7.327741e-02
7.230926066083179e-04	7.378735e-02
7.289122833674236e-04	7.419944e-02
7.347319601265292e-04	7.451367e-02
7.405516368856349e-04	7.473004e-02
7.505789508489917e-04	7.485846e-02
7.606062648123484e-04	7.469475e-02
7.706335787757052e-04	7.423893e-02
7.806608927390619e-04	7.349098e-02
7.906882067024186e-04	7.245091e-02
8.007155206657754e-04	7.111871e-02
8.107428346291321e-04	6.949440e-02
8.186955319104151e-04	6.800473e-02
8.266482291916980e-04	6.635670e-02
8.346009264729809e-04	6.455029e-02
8.425536237542639e-04	6.258552e-02
8.505063210355468e-04	6.046237e-02
8.584590183168297e-04	5.818086e-02
8.664117155981126e-04	5.574097e-02
8.712524878562849e-04	5.419502e-02
8.760932601144571e-04	5.259892e-02
8.785136462435432e-04	5.178251e-02
8.809340323726293e-04	5.095413e-02
8.833544185017154e-04	5.011395e-02
8.857748046308015e-04	4.926217e-02
8.906155768889737e-04	4.752463e-02
8.954563491471460e-04	4.574308e-02
9.027175075344043e-04	4.299188e-02
9.099786659216626e-04	4.015111e-02
9.172398243089210e-04	3.722666e-02
9.245009826961793e-04	3.422459e-02
9.314163716364253e-04	3.128481e-02
9.383317605766713e-04	2.829986e-02
9.452471495169174e-04	2.526974e-02
9.521625384571634e-04	2.219446e-02
9.590779273974094e-04	1.907400e-02
9.659933163376555e-04	1.590838e-02
9.729087052779015e-04	1.269759e-02
9.801698636651597e-04	9.314197e-03
9.874310220524180e-04	5.909254e-03
9.922717943105903e-04	3.630093e-03
9.946921804396764e-04	2.488251e-03
9.978597747377312e-04	9.921956e-04
9.982659051095424e-04	8.001867e-04
9.986720354813532e-04	6.081335e-04
9.990781658531644e-04	4.160359e-04
9.994842962249752e-04	2.238939e-04
9.998904265967863e-04	3.170758e-05
1.000296556968597e-03	-1.605231e-04
1.000702687340408e-03	-3.527982e-04
1.002027390203894e-03	-9.816220e-04
1.002733764207002e-03	-1.316658e-03
1.008481359196790e-03	-4.041107e-03
1.014228954186579e-03	-6.751625e-03
1.019976549176368e-03	-9.448211e-03
1.025724144166157e-03	-1.213087e-02
1.031471739155946e-03	-1.479959e-02
1.037219334145735e-03	-1.745438e-02
1.042966929135523e-03	-2.009524e-02
1.047807701393696e-03	-2.229685e-02
1.052648473651868e-03	-2.447293e-02
1.057489245910040e-03	-2.662350e-02
1.062330018168212e-03	-2.874855e-02
1.067170790426385e-03	-3.084808e-02
1.072011562684557e-03	-3.292209e-02
1.076852334942729e-03	-3.497057e-02
1.079272721071815e-03	-3.598038e-02
1.081693107200901e-03	-3.698295e-02
1.082907982445049e-03	-3.748286e-02
1.084379541941626e-03	-3.808493e-02
1.085214165768403e-03	-3.842534e-02
1.086048789595180e-03	-3.876457e-02
1.086883413421957e-03	-3.910262e-02
1.087718037248734e-03	-3.943949e-02
1.088552661075512e-03	-3.977518e-02
1.089387284902289e-03	-4.010968e-02
1.090221908729066e-03	-4.044301e-02
1.094426859739425e-03	-4.210493e-02
1.101688018126683e-03	-4.490787e-02
1.106528790384856e-03	-4.672502e-02
1.111369562643028e-03	-4.849902e-02
1.113789948772114e-03	-4.936932e-02
1.116210334901200e-03	-5.022822e-02
1.118630721030286e-03	-5.107553e-02
1.121051107159372e-03	-5.191103e-02
1.125891879417544e-03	-5.354589e-02
1.130732651675717e-03	-5.513129e-02
1.137993810062975e-03	-5.741344e-02
1.146638046238282e-03	-5.998975e-02
1.155282282413590e-03	-6.237346e-02
1.163926518588898e-03	-6.456456e-02
1.172570754764205e-03	-6.656307e-02
1.181214990939513e-03	-6.836898e-02
1.189859227114820e-03	-6.998228e-02
1.198503463290128e-03	-7.140299e-02
1.210951163382571e-03	-7.306560e-02
1.223398863475013e-03	-7.427177e-02
1.235846563567456e-03	-7.502149e-02
1.248294263659899e-03	-7.531476e-02
1.260741963752342e-03	-7.515159e-02
1.273189663844785e-03	-7.453198e-02
1.285637363937228e-03	-7.345591e-02
1.295318908453572e-03	-7.229052e-02
1.305000452969917e-03	-7.087384e-02
1.314681997486261e-03	-6.920585e-02
1.324363542002605e-03	-6.728656e-02
1.334045086518950e-03	-6.511598e-02
1.343726631035294e-03	-6.269410e-02
1.353408175551639e-03	-6.002092e-02
1.365510106197069e-03	-5.632893e-02
1.377612036842500e-03	-5.237348e-02
1.389713967487930e-03	-4.815458e-02
1.401815898133361e-03	-4.367223e-02
1.413917828778791e-03	-3.892642e-02
1.426019759424222e-03	-3.391716e-02
1.438121690069653e-03	-2.864444e-02
1.445382848456911e-03	-2.542247e-02
1.452644006844169e-03	-2.216491e-02
1.459905165231428e-03	-1.887177e-02
1.467166323618686e-03	-1.554304e-02
1.474427482005944e-03	-1.217872e-02
1.481688640393203e-03	-8.778817e-03
1.488949798780461e-03	-5.343327e-03
1.493790571038633e-03	-3.058097e-03
1.496210957167719e-03	-1.914396e-03
1.498631343296805e-03	-7.710686e-04
1.499916391757504e-03	-1.632908e-04
1.500790129496567e-03	2.505715e-04
1.501663867235630e-03	6.642066e-04
1.502537604974692e-03	1.077615e-03
1.503411342713755e-03	1.490796e-03
1.504285080452818e-03	1.903750e-03
1.505158818191880e-03	2.316477e-03
1.506032555930943e-03	2.728976e-03
1.509993467731715e-03	4.596519e-03
1.514834239989887e-03	6.873183e-03
1.522095398377146e-03	1.027293e-02
1.527973478976355e-03	1.301703e-02
1.533851559575564e-03	1.573374e-02
1.539729640174773e-03	1.842306e-02
1.545607720773982e-03	2.108499e-02
1.551485801373191e-03	2.371953e-02
1.557363881972400e-03	2.632668e-02
1.563241962571609e-03	2.890643e-02
1.569465812617831e-03	3.159506e-02
1.575689662664052e-03	3.422548e-02
1.581913512710274e-03	3.679768e-02
1.588137362756495e-03	3.931166e-02
1.594361212802717e-03	4.176743e-02
1.600585062848938e-03	4.416499e-02
1.606808912895159e-03	4.650433e-02
1.613378532388393e-03	4.889553e-02
1.619948151881627e-03	5.119406e-02
1.626517771374861e-03	5.339992e-02
1.633087390868094e-03	5.551311e-02
