OWNER;POINTNAME;FLD_DEV;3_KKS;DESC;ACTIVE;INACTIVE;SIG_TYPE;SIG_LEVEL;PWR_SRC;LOCATION;IO_GROUP;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION;SOE;HIST;PID;LOGIC;HMI_SCREEN;MOD;REV;REV_COMMENT;REV_DATE;REMARKS;Typo;DESCRIPCIÓN;DESCRIPCIÓN ALTERNATIVA;
       ACC;A0GHB10AA301XB01;A0GHB10AA301;XB01;Svce Wtr Tnk Mkup Vlv Actuator                                      Pos Open;Actuator Pos Open;;DI;DC_24V;         S;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Tnk Mkup Vlv;;
       ACC;A0GHB10AA301XB02;A0GHB10AA301;XB02;Svce Wtr Tnk Mkup Vlv Actuator                                      Pos Close;Actuator Pos Close;;DI;DC_24V;         S;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Tnk Mkup Vlv;;
       ACC;A0GHB10AA301YB02;A0GHB10AA301;YB02;Svce Wtr Tnk Mkup Vlv Cl Cmd                                        ;Cl Cmd;;plc_bo_output;DC_24V;         S;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Tnk Mkup Vlv;;
          ;A0GHB10CL001AXQ01;A0GHB10CL001;XQ01;Service Water Tank Lvl 1 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Service Water Tank Lvl 1;;
          ;A0GHB10CL001BXQ01;A0GHB10CL002;XQ01;Service Water Tank Lvl 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Service Water Tank Lvl 2;;
          ;A0GHB10CL901XQ01;A0GHB10CL901;XQ01;Service Water Tank Lvl xtmr                                          ;xmtr;;_empty_;;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Service Water Tank Lvl;;
          ;A0GHB10EA002ZQ01;A0GHB10EA002;ZQ01;Emerg BlwDn Attemp Pumps Sel No. of Pmps                                   Ready & Auto;No. of pmps Ready & Auto;;AO;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Emerg BlwDn Attemp Pumps Sel;;
          ;A0GHB10EA002ZQ02;A0GHB10EA002;ZQ02;Emerg BlwDn Attemp Pumps Sel No. of Pmps                                   Running;No. of pmps Running;;AO;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Emerg BlwDn Attemp Pumps Sel;;
          ;A0GHB20CP001XQ01;A0GHB20CP001;XQ01;Svce Wtr Press Grp Inl Fltr DP xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp Inl Fltr DP;;
          ;A0GHB30BU001XB01;A0GHB30BU001;XB01;Svce Wtr Press Grp Pump1                                         Running;Pump1 Running;;DI;DC_24V;          ;          ;;;;;;;;;;;          ;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp;;
          ;A0GHB30BU001XB02;A0GHB30BU001;XB02;Svce Wtr Press Grp Pump2                                         Running;Pump2 Running;;DI;DC_24V;          ;          ;;;;;;;;;;;          ;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp;;
          ;A0GHB30BU001XB03;A0GHB30BU001;XB03;Svce Wtr Press Grp Pump3                                         Running;Pump3 Running;;DI;DC_24V;          ;          ;;;;;;;;;;;          ;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp;;
          ;A0GHB30BU001XB33;A0GHB30BU001;XB33;Svce Wtr Press Grp                                               n Anomaly;n Anomaly;;DI;DC_24V;          ;          ;;;;;;;;;;;          ;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp;;
          ;A0GHB30BU001YB45;A0GHB30BU001;YB45;Svce Wtr Press Grp Start                                         Permissive;Start Permissive;;DO;DC_24V;          ;          ;;;;;;;;;;;          ;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp;;
          ;A0GHB40CP001XQ01;A0GHB40CP001;XQ01;Svce Wtr Press Grp Outl Press xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000004;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-IM-XA-007613;;1;;;;;Svce Wtr Press Grp Outl Press;;
