OWNER;POINTNAME;FLD_DEV;3_KKS; DESC;LONG DESC;ACTIVE;INACTIVE;EST;PRI;SIG_TYPE;SIG_LEVEL;PWR_SRC;NOMINAL POWER;LINE MONITORING;LOCATION;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION_SIGNAL;SOE;HIST;PID;LOGIC;SCHEM;HMI_SCREEN;Intelligent System;Signal Loss;Instrument Function;KKS_Junction Box;Explosion Protection;IS;IS_MODEL;IS_IN_TB_1;IS_IN_TB_2;IS_OUT_TB_1;IS_OUT_TB_2;CONTROLLER;CABINET_KKS;CARD_ID;CARD_TYPE;CARD_POINT_Nº;TA_MODEL;TA_TAG_ID;MC_ID;MC_TERM_STRIP_ID;TB_1;TB_2;TB_3;TB_4;STATUS OF TECHNICAL DATA;IN PAMELA;REMARKS;MOD;REV;REV_COMMENT;REV_DATE
EA-I&C;A0GHB10AA301XB01;A0GHB10AA301;XB01;Svce Wtr Tnk Mkup Vlv                       ;Service Water Tank Makeup Valve;Open;;;;DI;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;A0GHB10AA301XB02;A0GHB10AA301;XB02;Svce Wtr Tnk Mkup Vlv                       ;Service Water Tank Makeup Valve;Closed;;;;DI;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;A0GHB10AA301YB02;A0GHB10AA301;YB02;Svce Wtr Tnk Mkup Vlv                         ;Service Water Tank Makeup Valve;Cl Cmd;;;;DO;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;A0GHB10CL001AXQ01;A0GHB10CL001A;XQ01;Service Water Tank Lvl 1                        ;Service Water Tank Level 1;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH001;A;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;A0GHB10CL001BXQ01;A0GHB10CL001B;XQ01;Service Water Tank Lvl 2                        ;Service Water Tank Level 2;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH001;B;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;Hold;LT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;A0GHB20CP001XQ01;A0GHB20CP001;XQ01;Svce Wtr Press Grp Inl Fltr DP                  ;Service Water Pressure Group Inlet Filter Differential Pressure;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH001;;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;Hold;PT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;A0GHB30BU001XB01;A0GHB30BU001;XB01;Svce Wtr Press Grp                                   ;Service Water Pressure Group;Pump1 Running;;;;DI;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;A0GHB30BU001XB02;A0GHB30BU001;XB02;Svce Wtr Press Grp                                   ;Service Water Pressure Group;Pump2 Running;;;;DI;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;A0GHB30BU001XB03;A0GHB30BU001;XB03;Svce Wtr Press Grp                                   ;Service Water Pressure Group;Pump3 Running;;;;DI;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;A0GHB30BU001XB33;A0GHB30BU001;XB33;Svce Wtr Press Grp                                   ;Service Water Pressure Group;n Anomaly;Anomaly;;;DI;24VDC;         S;;;B0CRM01GH001;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41XX-XXX-PD-XA-000004 - Service & Potable Water Distribution System;NPE7-EAI-41XX-XXX-PP-XA-007613;NPE7-EAI-41XX-XXX-PP-XA-007632;NPE7-EAI-41XX-XXX-IM-XA-007613;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
