TIME	Ve	Vs	Vc
-4.20E-03	2.00E-01	2	-1.8000001
-4.20E-03	2.00E-01	2.2	-1.8000001
-4.19E-03	2.00E-01	2	-2
-4.19E-03	2.00E-01	2.2	-2
-4.18E-03	2.00E-01	2.2	-2
-4.18E-03	2.00E-01	2.4000001	-2
-4.18E-03	2.00E-01	2.4000001	-2.2
-4.17E-03	2.00E-01	2.4000001	-2.2
-4.17E-03	2.00E-01	2.4000001	-2.2
-4.16E-03	2.00E-01	2.6000001	-2.2
-4.16E-03	2.00E-01	2.4000001	-2.2
-4.16E-03	2.00E-01	2.6000001	-2.4000001
-4.15E-03	2.00E-01	2.6000001	-2.4000001
-4.15E-03	2.00E-01	2.6000001	-2.6000001
-4.14E-03	2.00E-01	2.79999995	-2.4000001
-4.14E-03	2.00E-01	2.79999995	-2.6000001
-4.14E-03	2.00E-01	2.79999995	-2.6000001
-4.13E-03	2.00E-01	3	-2.6000001
-4.13E-03	0	3	-2.79999995
-4.12E-03	2.00E-01	3	-2.79999995
-4.12E-03	2.00E-01	3	-2.79999995
-4.12E-03	2.00E-01	3.20000005	-2.79999995
-4.11E-03	2.00E-01	3	-2.79999995
-4.11E-03	2.00E-01	3.20000005	-3
-4.10E-03	2.00E-01	3.20000005	-3
-4.10E-03	2.00E-01	3.4000001	-3.20000005
-4.10E-03	2.00E-01	3.4000001	-3.20000005
-4.09E-03	2.00E-01	3.4000001	-3.20000005
-4.09E-03	2.00E-01	3.4000001	-3.20000005
-4.08E-03	2.00E-01	3.4000001	-3.20000005
-4.08E-03	2.00E-01	3.60000014	-3.20000005
-4.08E-03	2.00E-01	3.60000014	-3.4000001
-4.07E-03	2.00E-01	3.60000014	-3.4000001
-4.07E-03	2.00E-01	3.60000014	-3.4000001
-4.06E-03	2.00E-01	3.60000014	-3.4000001
-4.06E-03	2.00E-01	3.79999995	-3.4000001
-4.06E-03	2.00E-01	3.79999995	-3.60000014
-4.05E-03	2.00E-01	3.79999995	-3.60000014
-4.05E-03	2.00E-01	3.79999995	-3.60000014
-4.04E-03	2.00E-01	3.79999995	-3.60000014
-4.04E-03	2.00E-01	4	-3.60000014
-4.04E-03	2.00E-01	4	-3.79999995
-4.03E-03	2.00E-01	4	-3.79999995
-4.03E-03	2.00E-01	4.20000029	-3.79999995
-4.02E-03	2.00E-01	4	-4
-4.02E-03	2.00E-01	4.20000029	-4
-4.02E-03	2.00E-01	4.20000029	-4.20000029
-4.01E-03	0	4.4000001	-4
-4.01E-03	2.00E-01	4.4000001	-4.20000029
-4.00E-03	2.00E-01	4.4000001	-4.20000029
-4.00E-03	2.00E-01	4.4000001	-4.20000029
-4.00E-03	2.00E-01	4.4000001	-4.20000029
-3.99E-03	2.00E-01	4.4000001	-4.20000029
-3.99E-03	2.00E-01	4.5999999	-4.20000029
-3.98E-03	2.00E-01	4.5999999	-4.4000001
-3.98E-03	2.00E-01	4.5999999	-4.4000001
