TIME	Vs	Va
-4.20E-03	2.00E-01	1.2
-4.20E-03	2.00E-01	1.4
-4.19E-03	2.00E-01	1.2
-4.19E-03	2.00E-01	1.4
-4.18E-03	2.00E-01	1.4
-4.18E-03	2.00E-01	1.4
-4.18E-03	2.00E-01	1.6
-4.17E-03	2.00E-01	1.6
-4.17E-03	2.00E-01	1.8000001
-4.16E-03	2.00E-01	1.8000001
-4.16E-03	2.00E-01	1.8000001
-4.16E-03	2.00E-01	1.8000001
-4.15E-03	2.00E-01	1.8000001
-4.15E-03	2.00E-01	1.8000001
-4.14E-03	2.00E-01	2
-4.14E-03	2.00E-01	2
-4.14E-03	2.00E-01	2
-4.13E-03	2.00E-01	2.2
-4.13E-03	2.00E-01	2.2
-4.12E-03	2.00E-01	2.2
-4.12E-03	2.00E-01	2.2
-4.12E-03	2.00E-01	2.4000001
-4.11E-03	2.00E-01	2.4000001
-4.11E-03	2.00E-01	2.4000001
-4.10E-03	2.00E-01	2.4000001
-4.10E-03	2.00E-01	2.4000001
-4.10E-03	2.00E-01	2.6000001
-4.09E-03	2.00E-01	2.6000001
-4.09E-03	2.00E-01	2.79999995
-4.08E-03	2.00E-01	2.79999995
-4.08E-03	2.00E-01	2.79999995
-4.08E-03	2.00E-01	2.79999995
-4.07E-03	2.00E-01	2.79999995
-4.07E-03	2.00E-01	3
-4.06E-03	2.00E-01	3
-4.06E-03	2.00E-01	3
-4.06E-03	2.00E-01	3.20000005
-4.05E-03	2.00E-01	3
-4.05E-03	2.00E-01	3.20000005
-4.04E-03	2.00E-01	3.20000005
-4.04E-03	2.00E-01	3.20000005
-4.04E-03	2.00E-01	3.4000001
-4.03E-03	2.00E-01	3.4000001
-4.03E-03	2.00E-01	3.4000001
-4.02E-03	2.00E-01	3.4000001
-4.02E-03	2.00E-01	3.60000014
-4.02E-03	2.00E-01	3.60000014
-4.01E-03	2.00E-01	3.60000014
-4.01E-03	2.00E-01	3.60000014
-4.00E-03	2.00E-01	3.60000014
-4.00E-03	2.00E-01	3.79999995
-4.00E-03	2.00E-01	3.60000014
-3.99E-03	2.00E-01	3.79999995
-3.99E-03	2.00E-01	3.79999995
-3.98E-03	2.00E-01	3.79999995
-3.98E-03	2.00E-01	3.79999995
-3.98E-03	2.00E-01	4
-3.97E-03	2.00E-01	4
-3.97E-03	2.00E-01	4
-3.96E-03	2.00E-01	4
-3.96E-03	2.00E-01	4.20000029
-3.96E-03	2.00E-01	4.20000029
-3.95E-03	2.00E-01	4.20000029
-3.95E-03	2.00E-01	4.20000029
-3.94E-03	2.00E-01	4.4000001
-3.94E-03	2.00E-01	4.4000001
-3.94E-03	2.00E-01	4.4000001
-3.93E-03	2.00E-01	4.4000001
-3.93E-03	2.00E-01	4.4000001
-3.92E-03	2.00E-01	4.5999999
-3.92E-03	2.00E-01	4.5999999
-3.92E-03	2.00E-01	4.5999999
-3.91E-03	2.00E-01	4.5999999
-3.91E-03	2.00E-01	4.5999999
-3.90E-03	2.00E-01	4.5999999
-3.90E-03	2.00E-01	4.80000019
-3.90E-03	2.00E-01	4.80000019
-3.89E-03	2.00E-01	4.80000019
-3.89E-03	2.00E-01	5
-3.88E-03	2.00E-01	5
-3.88E-03	0	5
-3.88E-03	2.00E-01	5
-3.87E-03	2.00E-01	5
-3.87E-03	2.00E-01	5
-3.86E-03	2.00E-01	5.20000029
-3.86E-03	2.00E-01	5.20000029
-3.86E-03	2.00E-01	5.4000001
-3.85E-03	2.00E-01	5.20000029
-3.85E-03	2.00E-01	5.4000001
-3.84E-03	2.00E-01	5.4000001
-3.84E-03	0	5.4000001
-3.84E-03	2.00E-01	5.4000001
-3.83E-03	2.00E-01	5.4000001
-3.83E-03	0	5.4000001
-3.82E-03	2.00E-01	5.5999999
-3.82E-03	2.00E-01	5.5999999
-3.82E-03	2.00E-01	5.5999999
-3.81E-03	2.00E-01	5.4000001
-3.81E-03	2.00E-01	5.5999999
-3.80E-03	2.00E-01	5.80000019
-3.80E-03	2.00E-01	5.80000019
-3.80E-03	2.00E-01	5.80000019
-3.79E-03	2.00E-01	5.80000019
-3.79E-03	2.00E-01	5.80000019
-3.78E-03	2.00E-01	5.80000019
-3.78E-03	2.00E-01	6
-3.78E-03	2.00E-01	6
-3.77E-03	2.00E-01	6
-3.77E-03	2.00E-01	6
-3.76E-03	2.00E-01	6
-3.76E-03	2.00E-01	6.20000029
-3.76E-03	0	6.20000029
-3.75E-03	2.00E-01	6.20000029
-3.75E-03	2.00E-01	6.20000029
-3.74E-03	2.00E-01	6.4000001
-3.74E-03	2.00E-01	6.20000029
-3.74E-03	2.00E-01	6.4000001
-3.73E-03	2.00E-01	6.4000001
-3.73E-03	2.00E-01	6.4000001
-3.72E-03	2.00E-01	6.5999999
-3.72E-03	2.00E-01	6.4000001
-3.72E-03	2.00E-01	6.4000001
-3.71E-03	2.00E-01	6.4000001
-3.71E-03	0	6.5999999
-3.70E-03	2.00E-01	6.5999999
-3.70E-03	2.00E-01	6.5999999
-3.70E-03	2.00E-01	6.5999999
-3.69E-03	2.00E-01	6.80000019
-3.69E-03	14.4000006	8.199999809
-3.68E-03	14.4000006	20.80000114
-3.68E-03	14.4000006	20.60000038
-3.68E-03	14.4000006	20.60000038
-3.67E-03	14.4000006	20.39999962
-3.67E-03	14.4000006	20.39999962
-3.66E-03	14.4000006	20.20000076
-3.66E-03	14.4000006	20.20000076
-3.66E-03	14.6000004	20.20000076
-3.65E-03	14.6000004	20
-3.65E-03	14.6000004	20
-3.64E-03	14.4000006	19.8000011
-3.64E-03	14.6000004	19.8000011
-3.64E-03	14.4000006	19.8000011
-3.63E-03	14.6000004	19.6000004
-3.63E-03	14.4000006	19.6000004
-3.62E-03	14.4000006	19.3999996
-3.62E-03	14.4000006	19.3999996
-3.62E-03	14.4000006	19.2000008
-3.61E-03	14.4000006	19.2000008
-3.61E-03	14.4000006	19.2000008
-3.60E-03	14.4000006	19
-3.60E-03	14.6000004	19
-3.60E-03	14.4000006	19
-3.59E-03	14.4000006	18.8000011
-3.59E-03	14.4000006	18.8000011
-3.58E-03	14.6000004	18.6000004
-3.58E-03	14.6000004	18.6000004
-3.58E-03	14.6000004	18.3999996
-3.57E-03	14.6000004	18.3999996
-3.57E-03	14.6000004	18.3999996
-3.56E-03	14.6000004	18.2000008
-3.56E-03	14.6000004	18.2000008
-3.56E-03	14.6000004	18.2000008
-3.55E-03	14.6000004	18
-3.55E-03	14.6000004	18
-3.54E-03	14.6000004	18
-3.54E-03	14.6000004	17.8000011
-3.54E-03	14.6000004	17.8000011
-3.53E-03	14.6000004	17.6000004
-3.53E-03	14.6000004	17.6000004
-3.52E-03	14.6000004	17.3999996
-3.52E-03	14.4000006	17.3999996
-3.52E-03	14.6000004	17.3999996
-3.51E-03	14.4000006	17.2000008
-3.51E-03	14.6000004	17.2000008
-3.50E-03	14.4000006	17.2000008
-3.50E-03	14.4000006	17
-3.50E-03	14.4000006	17
-3.49E-03	14.6000004	17
-3.49E-03	14.6000004	17
-3.48E-03	14.6000004	16.8000011
-3.48E-03	14.6000004	16.8000011
-3.48E-03	14.4000006	16.8000011
-3.47E-03	14.6000004	16.6000004
-3.47E-03	14.4000006	16.6000004
-3.46E-03	14.4000006	16.3999996
-3.46E-03	14.4000006	16.3999996
-3.46E-03	14.6000004	16.2000008
-3.45E-03	14.6000004	16.2000008
-3.45E-03	14.6000004	16.2000008
-3.44E-03	14.6000004	16.2000008
-3.44E-03	14.6000004	16
-3.44E-03	14.4000006	16
-3.43E-03	14.4000006	15.8000002
-3.43E-03	14.6000004	15.8000002
-3.42E-03	14.6000004	15.8000002
-3.42E-03	14.6000004	15.8000002
-3.42E-03	14.6000004	15.6000004
-3.41E-03	14.6000004	15.6000004
-3.41E-03	14.6000004	15.4000006
-3.40E-03	14.6000004	15.4000006
-3.40E-03	14.6000004	15.1999998
-3.40E-03	14.6000004	15.1999998
-3.39E-03	14.6000004	15.1999998
-3.39E-03	14.6000004	15.1999998
-3.38E-03	14.6000004	15
-3.38E-03	14.6000004	15.1999998
-3.38E-03	14.6000004	15
-3.37E-03	14.6000004	14.8000002
-3.37E-03	14.6000004	14.8000002
-3.36E-03	14.6000004	14.8000002
-3.36E-03	14.6000004	14.8000002
-3.36E-03	14.6000004	14.6000004
-3.35E-03	14.6000004	14.6000004
-3.35E-03	14.6000004	14.6000004
-3.34E-03	14.6000004	14.4000006
-3.34E-03	14.6000004	14.4000006
-3.34E-03	14.6000004	14.4000006
-3.33E-03	14.6000004	14.4000006
-3.33E-03	14.6000004	14.4000006
-3.32E-03	14.6000004	14.1999998
-3.32E-03	14.6000004	14.1999998
-3.32E-03	14.6000004	14
-3.31E-03	14.6000004	14
-3.31E-03	14.6000004	14
-3.30E-03	14.6000004	13.8000002
-3.30E-03	14.6000004	13.8000002
-3.30E-03	14.6000004	13.8000002
-3.29E-03	14.6000004	13.8000002
-3.29E-03	14.6000004	13.8000002
-3.28E-03	14.6000004	13.6000004
-3.28E-03	14.6000004	13.6000004
-3.28E-03	14.6000004	13.4000006
-3.27E-03	14.6000004	13.4000006
-3.27E-03	14.6000004	13.4000006
-3.26E-03	14.6000004	13.4000006
-3.26E-03	14.6000004	13.4000006
-3.26E-03	14.6000004	13.1999998
-3.25E-03	14.6000004	13.1999998
-3.25E-03	14.6000004	13.1999998
-3.24E-03	14.6000004	13
-3.24E-03	14.6000004	13
-3.24E-03	14.6000004	12.8000002
-3.23E-03	14.6000004	13
-3.23E-03	14.6000004	12.8000002
-3.22E-03	14.6000004	12.8000002
-3.22E-03	14.6000004	12.8000002
-3.22E-03	14.6000004	12.6000004
-3.21E-03	14.6000004	12.8000002
-3.21E-03	14.6000004	12.6000004
-3.20E-03	14.6000004	12.6000004
-3.20E-03	14.6000004	12.6000004
-3.20E-03	14.6000004	12.4000006
-3.19E-03	14.6000004	12.4000006
-3.19E-03	14.6000004	12.4000006
-3.18E-03	14.6000004	12.1999998
-3.18E-03	14.6000004	12.1999998
-3.18E-03	14.6000004	12.1999998
-3.17E-03	14.6000004	12.1999998
-3.17E-03	14.6000004	12
-3.16E-03	14.6000004	12
-3.16E-03	14.6000004	12
-3.16E-03	14.6000004	12
-3.15E-03	14.6000004	12
-3.15E-03	14.6000004	12
-3.14E-03	14.6000004	11.8000002
-3.14E-03	14.6000004	11.8000002
-3.14E-03	14.6000004	11.8000002
-3.13E-03	14.6000004	11.8000002
-3.13E-03	14.6000004	11.6000004
-3.12E-03	14.6000004	11.6000004
-3.12E-03	14.6000004	11.6000004
-3.12E-03	14.6000004	11.4000006
-3.11E-03	14.6000004	11.4000006
-3.11E-03	14.6000004	11.4000006
-3.10E-03	14.6000004	11.4000006
-3.10E-03	14.6000004	11.4000006
-3.10E-03	14.6000004	11.1999998
-3.09E-03	14.6000004	11.1999998
-3.09E-03	14.6000004	11.1999998
-3.08E-03	14.6000004	11.1999998
-3.08E-03	14.6000004	11
-3.08E-03	14.6000004	11
-3.07E-03	14.6000004	11
-3.07E-03	14.6000004	11
-3.06E-03	14.6000004	11
-3.06E-03	14.6000004	10.8000002
-3.06E-03	14.6000004	10.8000002
-3.05E-03	14.6000004	10.8000002
-3.05E-03	14.6000004	10.8000002
-3.04E-03	14.6000004	10.6000004
-3.04E-03	14.6000004	10.6000004
-3.04E-03	14.6000004	10.6000004
-3.03E-03	14.6000004	10.6000004
-3.03E-03	14.6000004	10.6000004
-3.02E-03	14.6000004	10.6000004
-3.02E-03	14.6000004	10.4000006
-3.02E-03	14.6000004	10.4000006
-3.01E-03	14.6000004	10.4000006
-3.01E-03	14.6000004	10.4000006
-3.00E-03	14.6000004	10.4000006
-3.00E-03	14.6000004	10.1999998
-3.00E-03	14.6000004	10.1999998
-2.99E-03	14.6000004	10.1999998
-2.99E-03	14.6000004	10.1999998
-2.98E-03	14.6000004	10.1999998
-2.98E-03	14.6000004	10
-2.98E-03	14.6000004	10
-2.97E-03	14.6000004	10
-2.97E-03	14.6000004	9.800000191
-2.96E-03	14.6000004	9.800000191
-2.96E-03	14.6000004	9.800000191
-2.96E-03	14.6000004	9.800000191
-2.95E-03	14.6000004	9.800000191
-2.95E-03	14.6000004	9.600000381
-2.94E-03	14.6000004	9.600000381
-2.94E-03	14.6000004	9.600000381
-2.94E-03	14.6000004	9.400000572
-2.93E-03	14.6000004	9.400000572
-2.93E-03	14.6000004	9.400000572
-2.92E-03	14.6000004	9.400000572
