TIME	Vs	Va
5.50E-04	14.4000006	9.199999809
5.50E-04	14.4000006	9.199999809
5.50E-04	14.1999998	9.199999809
5.51E-04	14.1999998	9.199999809
5.51E-04	14.4000006	9
5.51E-04	14.1999998	9.199999809
5.51E-04	14.4000006	9.400000572
5.51E-04	14.4000006	9.199999809
5.52E-04	14.4000006	9.199999809
5.52E-04	14	9.199999809
5.52E-04	14	9.199999809
5.52E-04	14	9.199999809
5.52E-04	14.4000006	9
5.53E-04	14.1999998	9.199999809
5.53E-04	14.4000006	9.199999809
5.53E-04	14.4000006	9.199999809
5.53E-04	14.4000006	9
5.53E-04	14	9.199999809
5.54E-04	14	9.400000572
5.54E-04	14.1999998	9.199999809
5.54E-04	14.4000006	9.400000572
5.54E-04	14.1999998	9.400000572
5.54E-04	14.1999998	9.400000572
5.55E-04	14.6000004	9
5.55E-04	14.4000006	9.400000572
5.55E-04	14.1999998	9.400000572
5.55E-04	14	9.199999809
5.55E-04	14.1999998	9.199999809
5.56E-04	14.1999998	9.400000572
5.56E-04	14.1999998	9.400000572
5.56E-04	14.4000006	9.400000572
5.56E-04	14.1999998	9.199999809
5.56E-04	14.4000006	9.400000572
5.57E-04	14.1999998	9.400000572
5.57E-04	14.1999998	9.400000572
5.57E-04	14.4000006	9.400000572
5.57E-04	14.4000006	9.400000572
5.57E-04	14.4000006	9.400000572
5.58E-04	14.1999998	9.400000572
5.58E-04	14.4000006	9.199999809
5.58E-04	14.4000006	9.199999809
5.58E-04	14.1999998	9.199999809
5.58E-04	14.1999998	9.400000572
5.59E-04	14.1999998	9.400000572
5.59E-04	14.4000006	9.199999809
5.59E-04	14.4000006	9.199999809
5.59E-04	14.1999998	9.199999809
5.59E-04	14.1999998	9.400000572
5.60E-04	14.1999998	9.199999809
5.60E-04	14.4000006	9.400000572
5.60E-04	14.1999998	9.400000572
5.60E-04	14	9.600000381
5.60E-04	14.4000006	9.400000572
5.61E-04	14.1999998	9.400000572
5.61E-04	14.1999998	9.400000572
5.61E-04	14.4000006	9.600000381
5.61E-04	14.1999998	9.400000572
5.61E-04	14.6000004	9.600000381
5.62E-04	14	9.400000572
5.62E-04	14	9.199999809
5.62E-04	14.1999998	9.199999809
5.62E-04	14.4000006	9.400000572
5.62E-04	14.1999998	9.400000572
5.63E-04	14.1999998	9.600000381
