TIME	Vs	Vc
-4.50E-04	-13.6000004	3.79999995
-4.49E-04	-13.6000004	3.79999995
-4.48E-04	-13.6000004	3.79999995
-4.47E-04	-13.6000004	3.60000014
-4.46E-04	-13.6000004	3.60000014
-4.45E-04	-13.6000004	3.60000014
-4.44E-04	-13.6000004	3.60000014
-4.43E-04	-13.6000004	3.60000014
-4.42E-04	-13.4000006	3.4000001
-4.41E-04	-13.4000006	3.4000001
-4.40E-04	-13.6000004	3.4000001
-4.39E-04	-13.6000004	3.4000001
-4.38E-04	-13.6000004	3.20000005
-4.37E-04	-13.6000004	3.20000005
-4.36E-04	-13.6000004	3.20000005
-4.35E-04	-13.6000004	3.20000005
-4.34E-04	-13.6000004	3.20000005
-4.33E-04	-13.6000004	3
-4.32E-04	-13.6000004	3.20000005
-4.31E-04	-13.6000004	3
-4.30E-04	-13.6000004	3.20000005
-4.29E-04	-13.6000004	3
-4.28E-04	-13.4000006	3
-4.27E-04	-13.6000004	3
-4.26E-04	-13.6000004	2.79999995
-4.25E-04	-13.6000004	2.79999995
-4.24E-04	-13.6000004	2.79999995
-4.23E-04	-13.6000004	2.79999995
-4.22E-04	-13.6000004	2.79999995
-4.21E-04	-13.6000004	2.79999995
-4.20E-04	-13.6000004	2.79999995
-4.19E-04	-13.6000004	2.6000001
-4.18E-04	-13.6000004	2.6000001
-4.17E-04	-13.6000004	2.6000001
-4.16E-04	-13.6000004	2.6000001
-4.15E-04	-13.6000004	2.6000001
-4.14E-04	-13.6000004	2.6000001
-4.13E-04	-13.6000004	2.6000001
-4.12E-04	-13.6000004	2.6000001
-4.11E-04	-13.6000004	2.4000001
-4.10E-04	-13.6000004	2.4000001
-4.09E-04	-13.6000004	2.4000001
-4.08E-04	-13.6000004	2.2
-4.07E-04	-13.6000004	2.2
-4.06E-04	-13.6000004	2.2
-4.05E-04	-13.6000004	2.2
-4.04E-04	-13.6000004	2.2
-4.03E-04	-13.6000004	2.2
-4.02E-04	-13.6000004	2
-4.01E-04	-13.6000004	2.2
-4.00E-04	-13.6000004	2
-3.99E-04	-13.6000004	2
-3.98E-04	-13.6000004	2
-3.97E-04	-13.6000004	2
-3.96E-04	-13.6000004	2
-3.95E-04	-13.6000004	1.8000001
-3.94E-04	-13.6000004	1.8000001
-3.93E-04	-13.6000004	1.8000001
-3.92E-04	-13.6000004	1.8000001
-3.91E-04	-13.6000004	1.8000001
-3.90E-04	-13.6000004	1.6
-3.89E-04	-13.6000004	1.6
-3.88E-04	-13.6000004	1.6
-3.87E-04	-13.6000004	1.6
-3.86E-04	-13.6000004	1.6
-3.85E-04	-13.6000004	1.6
-3.84E-04	-13.6000004	1.6
-3.83E-04	-13.6000004	1.4
-3.82E-04	-13.6000004	1.4
-3.81E-04	-13.6000004	1.4
-3.80E-04	-13.6000004	1.4
-3.79E-04	-13.6000004	1.4
-3.78E-04	-13.6000004	1.2
-3.77E-04	-13.6000004	1.2
-3.76E-04	-13.6000004	1.2
-3.75E-04	-13.6000004	1.2
-3.74E-04	-13.6000004	1.2
-3.73E-04	-13.6000004	1.2
-3.72E-04	-13.6000004	1.2
-3.71E-04	-13.6000004	1.2
-3.70E-04	-13.6000004	1.2
-3.69E-04	-13.6000004	1
-3.68E-04	-13.6000004	1.2
-3.67E-04	-13.6000004	1
-3.66E-04	-13.6000004	1
-3.65E-04	-13.6000004	1
-3.64E-04	-13.6000004	1
-3.63E-04	-13.6000004	1
-3.62E-04	-13.6000004	8.00E-01
-3.61E-04	-13.6000004	8.00E-01
-3.60E-04	-13.6000004	8.00E-01
-3.59E-04	-13.6000004	8.00E-01
-3.58E-04	-13.6000004	8.00E-01
-3.57E-04	-13.6000004	6.00E-01
-3.56E-04	-13.6000004	6.00E-01
-3.55E-04	-13.6000004	6.00E-01
-3.54E-04	-13.6000004	6.00E-01
-3.53E-04	-13.6000004	6.00E-01
-3.52E-04	-13.6000004	6.00E-01
-3.51E-04	-13.6000004	6.00E-01
-3.50E-04	-13.6000004	4.00E-01
-3.49E-04	-13.6000004	4.00E-01
-3.48E-04	-13.6000004	6.00E-01
-3.47E-04	-13.6000004	4.00E-01
-3.46E-04	-13.6000004	4.00E-01
-3.45E-04	-13.6000004	2.00E-01
-3.44E-04	-13.6000004	2.00E-01
-3.43E-04	-13.6000004	2.00E-01
-3.42E-04	-13.6000004	2.00E-01
-3.41E-04	-13.6000004	2.00E-01
-3.40E-04	-13.6000004	2.00E-01
-3.39E-04	-13.6000004	2.00E-01
-3.38E-04	-13.6000004	2.00E-01
-3.37E-04	-13.6000004	2.00E-01
-3.36E-04	-13.6000004	2.00E-01
-3.35E-04	-13.6000004	0
-3.34E-04	-13.6000004	0
-3.33E-04	-13.6000004	0
-3.32E-04	-13.6000004	0
-3.31E-04	-13.6000004	0
-3.30E-04	-13.6000004	-2.00E-01
-3.29E-04	-13.6000004	-2.00E-01
-3.28E-04	-13.6000004	-2.00E-01
-3.27E-04	-13.6000004	-4.00E-01
-3.26E-04	-13.6000004	-2.00E-01
-3.25E-04	-13.6000004	-4.00E-01
-3.24E-04	-13.6000004	-2.00E-01
-3.23E-04	-13.6000004	-4.00E-01
-3.22E-04	-13.6000004	-4.00E-01
-3.21E-04	-13.6000004	-4.00E-01
-3.20E-04	-13.6000004	-4.00E-01
-3.19E-04	-13.6000004	-4.00E-01
-3.18E-04	-13.6000004	-4.00E-01
-3.17E-04	-13.6000004	-4.00E-01
-3.16E-04	-13.6000004	-6.00E-01
-3.15E-04	-13.6000004	-6.00E-01
-3.14E-04	-13.6000004	-4.00E-01
-3.13E-04	-13.6000004	-6.00E-01
-3.12E-04	-13.6000004	-6.00E-01
-3.11E-04	-13.6000004	-8.00E-01
-3.10E-04	-13.6000004	-6.00E-01
-3.09E-04	-13.6000004	-6.00E-01
-3.08E-04	-13.6000004	-8.00E-01
-3.07E-04	-13.6000004	-8.00E-01
-3.06E-04	-13.6000004	-8.00E-01
