TIME	Ve	Vs
-1.31E-02	-1	3.20000005
-1.31E-02	-1	3.20000005
-1.31E-02	-1	3
-1.31E-02	-1	3
-1.31E-02	-1	3
-1.31E-02	-1	3
-1.30E-02	-1	3
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.79999995
-1.30E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.6000001
-1.29E-02	-1	2.4000001
-1.29E-02	-1	2.4000001
-1.28E-02	-1	2.4000001
-1.28E-02	-1	2.4000001
-1.28E-02	-1	2.4000001
-1.28E-02	-1	2.4000001
-1.28E-02	-1	2.4000001
-1.28E-02	-1	2.2
-1.28E-02	-1	2.2
-1.28E-02	-1	2.2
-1.28E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2.2
-1.27E-02	-1	2
-1.27E-02	-1	2
-1.27E-02	-1	2
-1.26E-02	-1	2
-1.26E-02	-1	2
-1.26E-02	-1	2
-1.26E-02	-1	2
-1.26E-02	-1	2
-1.26E-02	-1	1.8000001
-1.26E-02	-1	1.8000001
-1.26E-02	-1	1.8000001
-1.26E-02	-1	1.8000001
-1.26E-02	-1	1.8000001
-1.26E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.8000001
-1.25E-02	-1	1.6
-1.25E-02	-1	1.6
-1.25E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.6
-1.24E-02	-1	1.4
-1.24E-02	-1	1.4
-1.24E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.23E-02	-1	1.4
-1.22E-02	-1	1.2
