TIME	Ve	Vs
-1.25E-02	-1	-1
-1.25E-02	-1	-1
-1.25E-02	-1	-1
-1.25E-02	-1	-1
-1.25E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.24E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1.04
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.23E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1	-1.04
-1.22E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1	-1
-1.22E-02	-1.04	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1	-1
-1.21E-02	-1.04	-1
-1.20E-02	-1	-1
-1.20E-02	-1	-1
-1.20E-02	-1	-1
-1.20E-02	-1	-1
-1.20E-02	-1.04	-1
-1.20E-02	-1	-1.04
-1.20E-02	-1	-1
-1.20E-02	-1	-1
-1.20E-02	-1	-1
-1.20E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.19E-02	-1.04	-1
-1.19E-02	-1	-1
-1.19E-02	-1	-1
-1.18E-02	-1	-9.60E-01
-1.18E-02	-1	-1
-1.18E-02	-1.04	-1
-1.18E-02	-1	-1
-1.18E-02	-1.04	-1
-1.18E-02	-1	-1
-1.18E-02	-1	-1.04
-1.18E-02	-1.04	-1
-1.18E-02	-1	-1
-1.18E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1.04
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.17E-02	-1	-1
-1.16E-02	-1	-1
-1.16E-02	-1	-1.04
-1.16E-02	-1.04	-1
-1.16E-02	-1	-1
-1.16E-02	-1	-1
-1.16E-02	-1	-1.04
-1.16E-02	-1	-1
-1.16E-02	-1	-1
-1.16E-02	-1.04	-1
-1.16E-02	-1	-1.04
-1.15E-02	-1	-1
