Frequence	Ve(pp)	Vs(pp)	Gain	Phase
30	4.08	10.1	7.873224214	-1.5
60	4.08	10.1	7.873224214	-2
90	4.08	10.1	7.873224214	-2.6
100	4.08	10.1	7.873224214	-2.9
300	4.08	10.4	8.127463524	-6.7
600	4.08	11.4	8.924893765	-13.5
900	4.08	13.4	10.32889271	-23.3
1000	4.08	14.4	10.95404658	-27.7
1600	4.08	20	13.80739665	-89
3000	4.08	4	-0.172003435	-156
6000	4.08	0.8	-14.15140352	-170
9000	4.08	0.352	-21.28234999	-173
10000	4.08	0.29	-22.9652433	-174
30000	4.08	0.032	-42.1102037	-176
60000	4.08	0.01	-52.21320326	-180
90000	4.08	0.007	-55.31124246	-180
