TIME	Ve	Vs
5.075000E-03	2.0799999	-9.60E-01
5.075100E-03	2.0799999	-9.60E-01
5.075200E-03	2.0799999	-9.60E-01
5.075300E-03	2.0799999	-9.60E-01
5.075400E-03	2.0799999	-9.60E-01
5.075500E-03	2.0799999	-9.60E-01
5.075600E-03	2.0799999	-9.60E-01
5.075700E-03	2.0799999	-9.60E-01
5.075800E-03	2.0799999	-9.60E-01
5.075900E-03	2.0799999	-9.60E-01
5.076000E-03	2.0799999	-9.60E-01
5.076100E-03	2.0799999	-9.60E-01
5.076200E-03	2.0799999	-9.60E-01
5.076300E-03	2.0799999	-8.80E-01
5.076400E-03	2.0799999	-9.60E-01
5.076500E-03	2.0799999	-8.80E-01
5.076600E-03	2.0799999	-8.80E-01
5.076700E-03	2.0799999	-8.80E-01
5.076800E-03	2.0799999	-8.80E-01
5.076900E-03	2.0799999	-8.80E-01
5.077000E-03	2.0799999	-8.80E-01
5.077100E-03	2.0799999	-8.80E-01
5.077200E-03	2.0799999	-8.80E-01
5.077300E-03	2.0799999	-8.80E-01
5.077400E-03	2.0799999	-8.80E-01
5.077500E-03	2.0799999	-8.80E-01
5.077600E-03	2.0799999	-8.80E-01
5.077700E-03	2.0799999	-8.80E-01
5.077800E-03	2.0799999	-8.80E-01
5.077900E-03	2.0799999	-8.80E-01
5.078000E-03	2.0799999	-8.80E-01
5.078100E-03	2.0799999	-8.80E-01
5.078200E-03	2.0799999	-8.80E-01
5.078300E-03	2.0799999	-8.80E-01
5.078400E-03	2.0799999	-8.80E-01
5.078500E-03	2.0799999	-8.80E-01
5.078600E-03	2.0799999	-8.80E-01
5.078700E-03	2.0799999	-8.80E-01
5.078800E-03	2.0799999	-8.80E-01
5.078900E-03	2.0799999	-8.80E-01
5.079000E-03	2.0799999	-8.80E-01
5.079100E-03	2.0799999	-8.80E-01
5.079200E-03	2.0799999	-8.80E-01
5.079300E-03	2.0799999	-8.80E-01
5.079400E-03	2.0799999	-8.80E-01
5.079500E-03	2.0799999	-8.00E-01
5.079600E-03	2.0799999	-8.00E-01
5.079700E-03	2.0799999	-8.00E-01
5.079800E-03	2.0799999	-8.00E-01
5.079900E-03	2.0799999	-8.00E-01
5.080000E-03	2.0799999	-8.00E-01
5.080100E-03	2.0799999	-8.00E-01
5.080200E-03	2.0799999	-8.00E-01
5.080300E-03	2.0799999	-8.00E-01
5.080400E-03	2.0799999	-8.00E-01
5.080500E-03	2.0799999	-8.00E-01
5.080600E-03	2.0799999	-8.00E-01
5.080700E-03	2.0799999	-8.00E-01
5.080800E-03	2.0799999	-8.00E-01
5.080900E-03	2.0799999	-8.00E-01
5.081000E-03	2.0799999	-8.00E-01
5.081100E-03	2.0799999	-8.00E-01
5.081200E-03	2.0799999	-8.00E-01
5.081300E-03	2.0799999	-8.00E-01
5.081400E-03	2.0799999	-8.00E-01
5.081500E-03	2.0799999	-8.00E-01
5.081600E-03	2.0799999	-8.00E-01
5.081700E-03	2.0799999	-8.00E-01
5.081800E-03	2.0799999	-8.00E-01
