R	Us	Is	Pp	Qp	phi	tau	taux	DeltaC	DeltaM	tau2
0	123	0.002	44.5	112	0.37	0.002045393	0.001992076	0.001	0	-1.024719101
5	123	0.486	104.8	113.5	0.68	0.387872519	0.470654012	0.243	0	0.140267176
10	123	1	163	113	0.82	0.618773006	0.6863092	0.5	0	0.447239264
15	122.7	1.47	226	112.5	0.89	0.710302699	0.774717886	0.735	0.3	0.601327434
20	122.2	2	281	112	0.93	0.808868327	0.826841087	1	0.8	0.679359431
25	121.5	2.55	357.5	112	0.95	0.823311189	0.857653307	1.275	1.5	0.747972028
30	121.4	3	415	112	0.97	0.851262651	0.875797647	1.5	1.6	0.782891566
35	121	3.5	470	112	0.97	0.874031915	0.888166998	1.75	2	0.808297872
40	120.5	4	530	112	0.98	0.891245283	0.89809111	2	2.5	0.83
45	120.3	4.4	580	111	0.98	0.894368276	0.903695662	2.2	2.7	0.844655172
50	120	5	656	111	0.99	0.905487805	0.910903236	2.5	3	0.862652439
55	119.6	5.45	709	110	0.99	0.905591678	0.913950328	2.725	3.4	0.872919605
60	119	5.9	765	111	0.99	0.9086	0.916889157	2.95	4	0.882222222
65	118.7	6.37	825	111	0.99	0.909636	0.919287798	3.185	4.3	0.890787879
70	118.2	6.78	873	111	0.99	0.907261856	0.920308734	3.39	4.8	0.896792669
75	118	7.21	926	111	0.99	0.90958121	0.921660082	3.605	5	0.902699784
80	117.7	7.63	978	111	0.99	0.911387117	0.922665667	3.815	5.3	0.907873211
85	117.3	8.05	1029	111	0.99	0.906153061	0.922804115	4.025	5.7	0.912439261
90	117	8.52	1085	111	0.99	0.909559078	0.923374117	4.26	6	0.916958525
95	116.6	8.97	1138	112	1	0.919070299	0.924160123	4.485	6.4	0.920826011
100	116.2	9.35	1188	112	1	0.914537037	0.92404093	4.675	6.8	0.924158249
