WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1470.000;-11.25;-60.85;-60.62;-60.19;-40.46
1470.010;-10.92;-61.17;-60.94;-60.52;-40.39
1470.020;-10.71;-61.39;-61.16;-60.73;-40.39
1470.030;-10.32;-61.77;-61.55;-61.12;-40.38
1470.040;-10.24;-61.85;-61.62;-61.20;-40.40
1470.050;-9.92;-62.17;-61.94;-61.52;-40.53
1470.060;-9.58;-62.51;-62.29;-61.86;-40.52
1470.070;-9.55;-62.54;-62.32;-61.89;-40.52
1470.080;-9.27;-62.83;-62.60;-62.17;-40.51
1470.090;-8.99;-63.11;-62.88;-62.45;-40.44
1470.100;-8.89;-63.21;-62.98;-62.55;-40.45
1470.110;-8.62;-63.47;-63.25;-62.82;-40.54
1470.120;-8.43;-63.66;-63.43;-63.01;-40.58
1470.130;-8.36;-63.73;-63.51;-63.08;-40.62
1470.140;-8.18;-63.91;-63.68;-63.26;-40.65
1470.150;-8.08;-64.01;-63.78;-63.36;-40.61
1470.160;-7.90;-64.20;-63.97;-63.54;-40.41
1470.170;-7.81;-64.28;-64.06;-63.63;-40.53
1470.180;-7.72;-64.37;-64.15;-63.72;-40.45
1470.190;-7.55;-64.54;-64.32;-63.89;-40.41
1470.200;-7.37;-64.72;-64.49;-64.07;-40.44
1470.210;-7.24;-64.85;-64.63;-64.20;-40.43
1470.220;-7.15;-64.94;-64.72;-64.29;-40.48
1470.230;-7.12;-64.97;-64.74;-64.32;-40.42
1470.240;-7.05;-65.05;-64.82;-64.40;-40.39
1470.250;-6.99;-65.10;-64.88;-64.45;-40.44
1470.260;-6.95;-65.14;-64.92;-64.49;-40.32
1470.270;-6.87;-65.22;-65.00;-64.57;-40.44
1470.280;-6.81;-65.28;-65.05;-64.63;-40.37
1470.290;-6.74;-65.35;-65.13;-64.70;-40.31
1470.300;-6.81;-65.28;-65.06;-64.63;-40.37
1470.310;-6.76;-65.33;-65.11;-64.68;-40.49
1470.320;-6.60;-65.49;-65.27;-64.85;-40.36
1470.330;-6.65;-65.44;-65.22;-64.79;-40.38
1470.340;-6.78;-65.31;-65.09;-64.66;-40.45
1470.350;-6.87;-65.22;-65.00;-64.57;-40.52
1470.360;-6.88;-65.21;-64.99;-64.57;-40.43
1470.370;-7.02;-65.07;-64.85;-64.42;-40.57
1470.380;-7.04;-65.05;-64.83;-64.40;-40.58
1470.390;-7.02;-65.07;-64.85;-64.42;-40.42
1470.400;-7.06;-65.03;-64.81;-64.39;-40.60
1470.410;-7.11;-64.98;-64.76;-64.34;-40.53
1470.420;-7.22;-64.87;-64.65;-64.22;-40.55
1470.430;-7.40;-64.69;-64.47;-64.05;-40.64
1470.440;-7.67;-64.42;-64.20;-63.78;-40.63
1470.450;-7.89;-64.20;-63.98;-63.55;-40.66
1470.460;-8.14;-63.95;-63.73;-63.30;-40.66
1470.470;-8.49;-63.60;-63.38;-62.95;-40.65
1470.480;-8.59;-63.49;-63.28;-62.85;-40.62
1470.490;-8.74;-63.35;-63.13;-62.70;-40.66
1470.500;-9.26;-62.83;-62.61;-62.19;-40.62
1470.510;-9.29;-62.80;-62.58;-62.16;-40.60
1470.520;-9.32;-62.77;-62.55;-62.12;-40.52
1470.530;-9.74;-62.34;-62.13;-61.70;-40.53
1470.540;-10.12;-61.97;-61.76;-61.33;-40.44
1470.550;-10.37;-61.71;-61.50;-61.07;-40.42
1470.560;-10.26;-61.83;-61.62;-61.19;-40.42
1470.570;-10.41;-61.68;-61.46;-61.04;-40.39
1470.580;-10.60;-61.49;-61.28;-60.85;-40.35
1470.590;-10.58;-61.50;-61.29;-60.87;-40.37
1470.600;-10.57;-61.52;-61.31;-60.88;-40.28
1470.610;-10.36;-61.72;-61.51;-61.08;-40.31
1470.620;-10.05;-62.03;-61.82;-61.40;-40.36
1470.630;-10.02;-62.07;-61.86;-61.43;-40.41
1470.640;-10.02;-62.07;-61.86;-61.43;-40.43
1470.650;-10.14;-61.95;-61.73;-61.31;-40.43
1470.660;-10.40;-61.69;-61.48;-61.05;-40.36
1470.670;-10.31;-61.78;-61.57;-61.14;-40.49
1470.680;-10.12;-61.96;-61.75;-61.33;-40.44
1470.690;-9.84;-62.25;-62.04;-61.61;-40.41
1470.700;-9.78;-62.30;-62.09;-61.67;-40.49
1470.710;-9.60;-62.48;-62.27;-61.85;-40.45
1470.720;-9.38;-62.70;-62.49;-62.07;-40.37
1470.730;-9.22;-62.87;-62.66;-62.23;-40.33
1470.740;-9.16;-62.92;-62.72;-62.29;-40.43
1470.750;-9.05;-63.04;-62.83;-62.40;-40.29
1470.760;-8.89;-63.19;-62.99;-62.56;-40.42
1470.770;-8.86;-63.23;-63.02;-62.59;-40.28
1470.780;-8.83;-63.25;-63.05;-62.62;-40.37
1470.790;-8.75;-63.34;-63.13;-62.71;-40.38
1470.800;-8.55;-63.54;-63.33;-62.91;-40.37
1470.810;-8.41;-63.67;-63.47;-63.04;-40.45
1470.820;-8.28;-63.80;-63.60;-63.17;-40.35
1470.830;-8.11;-63.98;-63.77;-63.35;-40.19
