WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL
1470.000;0.00;0.00;0.00;0.00
1470.010;0.00;0.00;0.00;0.00
1470.020;0.00;0.00;0.00;0.00
1470.030;0.00;0.00;0.00;0.00
1470.040;0.00;0.00;0.00;0.00
1470.050;0.00;0.00;0.00;0.00
1470.060;0.00;0.00;0.00;0.00
1470.070;-6.74;-65.36;-65.13;-32.55
1470.080;-6.75;-65.34;-65.12;-32.44
1470.090;-6.64;-65.46;-65.23;-32.33
1470.100;-6.50;-65.60;-65.37;-32.24
1470.110;-6.38;-65.71;-65.48;-32.23
1470.120;-6.28;-65.81;-65.58;-32.18
1470.130;-6.22;-65.87;-65.64;-32.25
1470.140;-6.14;-65.96;-65.73;-32.20
1470.150;-6.01;-66.08;-65.86;-32.13
1470.160;-5.92;-66.18;-65.95;-32.15
1470.170;-5.81;-66.29;-66.06;-32.12
1470.180;-5.74;-66.35;-66.12;-32.09
1470.190;-5.60;-66.50;-66.27;-32.00
1470.200;-5.44;-66.65;-66.43;-32.06
1470.210;-5.31;-66.78;-66.55;-32.05
1470.220;-5.17;-66.92;-66.69;-32.06
1470.230;-5.06;-67.03;-66.81;-32.07
1470.240;-5.01;-67.08;-66.85;-32.10
1470.250;-4.94;-67.15;-66.92;-32.11
1470.260;-4.85;-67.24;-67.02;-32.14
1470.270;-4.75;-67.35;-67.12;-32.10
1470.280;-4.67;-67.43;-67.20;-32.12
1470.290;-4.59;-67.50;-67.28;-32.04
1470.300;-4.51;-67.58;-67.36;-32.03
1470.310;-4.40;-67.69;-67.46;-32.02
1470.320;-4.34;-67.75;-67.53;-32.01
1470.330;-4.20;-67.89;-67.67;-32.06
1470.340;-4.13;-67.96;-67.74;-32.04
1470.350;-4.08;-68.02;-67.79;-32.05
1470.360;-4.03;-68.06;-67.84;-31.97
1470.370;-3.96;-68.13;-67.91;-32.02
1470.380;-3.92;-68.17;-67.95;-32.00
1470.390;-3.84;-68.25;-68.03;-32.02
1470.400;-3.77;-68.32;-68.10;-32.04
1470.410;-3.72;-68.37;-68.15;-32.01
1470.420;-3.66;-68.42;-68.21;-32.01
1470.430;-3.61;-68.47;-68.26;-32.01
1470.440;-3.58;-68.51;-68.30;-31.99
1470.450;-3.63;-68.45;-68.24;-31.97
1470.460;-3.94;-68.15;-67.93;-32.02
1470.470;-4.21;-67.88;-67.66;-32.05
1470.480;-4.33;-67.76;-67.54;-32.06
1470.490;-4.43;-67.66;-67.44;-32.06
1470.500;-4.42;-67.66;-67.45;-32.06
1470.510;-4.43;-67.66;-67.44;-32.06
1470.520;-4.41;-67.68;-67.46;-32.08
1470.530;-4.47;-67.61;-67.40;-32.01
1470.540;-4.48;-67.60;-67.39;-32.17
1470.550;-4.51;-67.58;-67.36;-32.13
1470.560;-4.55;-67.54;-67.33;-32.18
1470.570;-4.48;-67.61;-67.40;-32.18
