WL;Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1470.000;-10.82;-61.27;-61.05;-60.62;-21.46
1470.010;-11.84;-60.26;-60.03;-59.60;-21.54
1470.020;-12.79;-59.30;-59.08;-58.65;-21.55
1470.030;-12.46;-59.64;-59.41;-58.98;-21.52
1470.040;-12.77;-59.33;-59.10;-58.67;-21.54
1470.050;-12.58;-59.52;-59.29;-58.86;-21.50
1470.060;-13.15;-58.94;-58.71;-58.29;-21.51
1470.070;-13.90;-58.19;-57.97;-57.54;-21.64
1470.080;-14.95;-57.14;-56.91;-56.48;-21.54
1470.090;-15.26;-56.83;-56.60;-56.18;-21.65
1470.100;-15.14;-56.96;-56.73;-56.30;-21.61
1470.110;-15.07;-57.02;-56.80;-56.37;-21.63
1470.120;-15.45;-56.64;-56.41;-55.99;-21.63
1470.130;-14.81;-57.29;-57.06;-56.63;-21.59
1470.140;-14.59;-57.50;-57.27;-56.85;-21.59
1470.150;-14.53;-57.56;-57.34;-56.91;-21.57
1470.160;-14.47;-57.62;-57.39;-56.97;-21.53
1470.170;-14.58;-57.52;-57.29;-56.86;-21.61
1470.180;-14.07;-58.02;-57.79;-57.37;-21.56
1470.190;-13.80;-58.29;-58.07;-57.64;-21.56
1470.200;-13.85;-58.25;-58.02;-57.59;-21.57
1470.210;-13.78;-58.31;-58.09;-57.66;-21.53
1470.220;-13.52;-58.58;-58.35;-57.92;-21.55
1470.230;-12.87;-59.22;-59.00;-58.57;-21.53
1470.240;-14.63;-57.46;-57.24;-56.81;-21.57
1470.250;-14.78;-57.31;-57.09;-56.66;-21.58
1470.260;-14.26;-57.83;-57.61;-57.18;-21.52
1470.270;-13.82;-58.28;-58.05;-57.63;-21.59
1470.280;-13.11;-58.98;-58.76;-58.33;-21.55
1470.290;-12.65;-59.44;-59.22;-58.80;-21.56
1470.300;-12.35;-59.74;-59.52;-59.09;-21.54
1470.310;-12.07;-60.02;-59.80;-59.37;-21.54
1470.320;-11.70;-60.39;-60.17;-59.74;-21.55
1470.330;-11.33;-60.76;-60.54;-60.11;-21.53
1470.340;-11.13;-60.96;-60.74;-60.31;-21.54
1470.350;-10.82;-61.27;-61.05;-60.63;-21.55
1470.360;-10.49;-61.60;-61.38;-60.96;-21.53
1470.370;-10.39;-61.70;-61.48;-61.05;-21.56
1470.380;-10.20;-61.89;-61.67;-61.25;-21.57
1470.390;-9.88;-62.21;-61.99;-61.56;-21.54
1470.400;-9.63;-62.46;-62.24;-61.82;-21.53
1470.410;-9.50;-62.59;-62.37;-61.94;-21.54
1470.420;-9.40;-62.69;-62.48;-62.05;-21.53
1470.430;-9.15;-62.94;-62.72;-62.30;-21.56
1470.440;-9.07;-63.02;-62.80;-62.37;-21.52
1470.450;-8.98;-63.11;-62.89;-62.46;-21.51
1470.460;-8.97;-63.11;-62.90;-62.47;-21.49
1470.470;-9.07;-63.01;-62.80;-62.37;-21.56
1470.480;-9.11;-62.98;-62.76;-62.33;-21.55
1470.490;-8.93;-63.16;-62.94;-62.52;-21.52
1470.500;-8.89;-63.20;-62.99;-62.56;-21.50
1470.510;-8.74;-63.35;-63.13;-62.71;-21.52
1470.520;-8.66;-63.43;-63.22;-62.79;-21.49
1470.530;-8.71;-63.38;-63.16;-62.74;-21.48
1470.540;-8.83;-63.26;-63.04;-62.62;-21.51
1470.550;-8.93;-63.15;-62.94;-62.51;-21.52
1470.560;-8.88;-63.21;-63.00;-62.57;-21.52
1470.570;-9.10;-62.99;-62.77;-62.35;-21.47
1470.580;-9.69;-62.39;-62.18;-61.76;-21.50
1470.590;-9.70;-62.39;-62.18;-61.75;-21.52
1470.600;-9.78;-62.30;-62.09;-61.66;-21.48
1470.610;-10.17;-61.92;-61.71;-61.28;-21.51
1470.620;-10.12;-61.96;-61.75;-61.33;-21.51
1470.630;-10.47;-61.62;-61.40;-60.98;-21.52
1470.640;-10.96;-61.13;-60.92;-60.49;-21.49
1470.650;-11.52;-60.57;-60.36;-59.93;-21.53
1470.660;-12.75;-59.33;-59.12;-58.70;-21.60
1470.670;-13.24;-58.85;-58.64;-58.21;-21.53
1470.680;-13.73;-58.36;-58.15;-57.72;-21.57
1470.690;-12.75;-59.34;-59.13;-58.70;-21.57
1470.700;-12.21;-59.88;-59.67;-59.24;-21.50
1470.710;-10.51;-61.57;-61.36;-60.94;-21.48
1470.720;-9.41;-62.67;-62.47;-62.04;-21.51
1470.730;-11.19;-60.90;-60.69;-60.26;-21.48
1470.740;-9.15;-62.93;-62.73;-62.30;-21.47
1470.750;-10.76;-61.32;-61.11;-60.69;-21.52
1470.760;-10.13;-61.95;-61.75;-61.32;-21.47
1470.770;-9.92;-62.16;-61.96;-61.53;-21.48
1470.780;-10.23;-61.86;-61.65;-61.23;-21.48
1470.790;-10.40;-61.68;-61.47;-61.05;-21.54
1470.800;-9.96;-62.13;-61.92;-61.50;-21.48
1470.810;-10.98;-61.11;-60.90;-60.48;-21.47
1470.820;-11.06;-61.02;-60.82;-60.39;-21.43
1470.830;-11.80;-60.28;-60.08;-59.65;-21.47
1470.840;-11.72;-60.36;-60.16;-59.73;-21.49
1470.850;-11.61;-60.47;-60.27;-59.84;-21.45
1470.860;-11.98;-60.10;-59.90;-59.47;-21.54
1470.870;-12.68;-59.40;-59.20;-58.78;-21.49
1470.880;-13.18;-58.90;-58.70;-58.28;-21.54
1470.890;-13.25;-58.84;-58.63;-58.21;-21.51
1470.900;-13.41;-58.67;-58.47;-58.04;-21.52
1470.910;-14.68;-57.40;-57.20;-56.77;-21.62
1470.920;-13.85;-58.23;-58.03;-57.60;-21.56
1470.930;-13.61;-58.47;-58.27;-57.84;-21.53
1470.940;-13.46;-58.62;-58.42;-57.99;-21.53
1470.950;-13.00;-59.09;-58.88;-58.46;-21.50
1470.960;-12.81;-59.27;-59.07;-58.64;-21.49
1470.970;-12.41;-59.68;-59.47;-59.05;-21.48
1470.980;-11.86;-60.22;-60.02;-59.59;-21.52
1470.990;-11.54;-60.55;-60.35;-59.92;-21.49
1471.000;-11.25;-60.83;-60.63;-60.20;-21.43
1471.010;-10.86;-61.22;-61.02;-60.59;-21.45
1471.020;-10.51;-61.57;-61.37;-60.94;-21.51
1471.030;-10.24;-61.84;-61.64;-61.21;-21.47
1471.040;-10.02;-62.07;-61.86;-61.43;-21.46
1471.050;-9.73;-62.35;-62.15;-61.72;-21.46
1471.060;-9.44;-62.64;-62.44;-62.01;-21.46
1471.070;-9.29;-62.79;-62.59;-62.16;-21.45
1471.080;-9.05;-63.04;-62.83;-62.40;-21.42
1471.090;-8.92;-63.17;-62.96;-62.53;-21.42
1471.100;-8.88;-63.20;-63.00;-62.57;-21.45
1471.110;-8.84;-63.24;-63.04;-62.61;-21.48
1471.120;-8.59;-63.50;-63.30;-62.86;-21.45
1471.130;-8.35;-63.73;-63.53;-63.10;-21.41
1471.140;-8.15;-63.93;-63.73;-63.30;-21.42
1471.150;-7.98;-64.11;-63.91;-63.47;-21.44
1471.160;-7.78;-64.31;-64.11;-63.67;-21.40
1471.170;-7.63;-64.45;-64.25;-63.82;-21.42
1471.180;-7.50;-64.59;-64.39;-63.95;-21.44
1471.190;-7.45;-64.64;-64.44;-64.00;-21.41
1471.200;-7.30;-64.79;-64.58;-64.15;-21.44
1471.210;-7.20;-64.89;-64.69;-64.25;-21.46
1471.220;-7.23;-64.85;-64.65;-64.21;-21.45
1471.230;-7.00;-65.08;-64.88;-64.44;-21.45
1471.240;-6.86;-65.23;-65.02;-64.59;-21.44
1471.250;-6.82;-65.26;-65.06;-64.62;-21.43
1471.260;-6.71;-65.38;-65.18;-64.74;-21.42
1471.270;-6.69;-65.40;-65.20;-64.76;-21.43
1471.280;-6.70;-65.39;-65.19;-64.75;-21.41
1471.290;-6.66;-65.43;-65.22;-64.79;-21.39
1471.300;-6.68;-65.41;-65.21;-64.77;-21.42
1471.310;-6.67;-65.42;-65.21;-64.78;-21.42
1471.320;-6.64;-65.45;-65.24;-64.80;-21.42
1471.330;-6.68;-65.41;-65.21;-64.77;-21.41
1471.340;-6.60;-65.49;-65.28;-64.84;-21.39
1471.350;-6.75;-65.34;-65.13;-64.69;-21.43
1471.360;-6.83;-65.26;-65.06;-64.62;-21.42
1471.370;-6.94;-65.15;-64.95;-64.51;-21.44
1471.380;-7.26;-64.84;-64.63;-64.19;-21.42
1471.390;-7.56;-64.53;-64.33;-63.89;-21.42
1471.400;-7.73;-64.36;-64.16;-63.72;-21.42
1471.410;-8.05;-64.04;-63.84;-63.40;-21.41
1471.420;-8.32;-63.77;-63.56;-63.12;-21.41
1471.430;-8.63;-63.46;-63.26;-62.82;-21.44
1471.440;-8.63;-63.46;-63.26;-62.82;-21.46
1471.450;-8.89;-63.20;-63.00;-62.55;-21.43
1471.460;-9.38;-62.71;-62.50;-62.06;-21.47
1471.470;-9.75;-62.34;-62.14;-61.70;-21.47
1471.480;-10.26;-61.84;-61.63;-61.19;-21.49
1471.490;-10.66;-61.43;-61.22;-60.78;-21.50
1471.500;-10.99;-61.10;-60.89;-60.45;-21.48
1471.510;-11.66;-60.43;-60.23;-59.79;-21.49
1471.520;-11.87;-60.23;-60.02;-59.58;-21.49
1471.530;-12.20;-59.89;-59.68;-59.24;-21.52
1471.540;-12.52;-59.57;-59.36;-58.92;-21.48
1471.550;-12.59;-59.50;-59.30;-58.85;-21.52
1471.560;-12.61;-59.49;-59.28;-58.84;-21.50
1471.570;-12.62;-59.47;-59.26;-58.82;-21.52
1471.580;-12.91;-59.18;-58.98;-58.53;-21.57
1471.590;-13.70;-58.39;-58.18;-57.74;-21.58
1471.600;-13.18;-58.91;-58.71;-58.26;-21.51
1471.610;-13.23;-58.86;-58.66;-58.21;-21.56
1471.620;-13.20;-58.90;-58.69;-58.24;-21.49
1471.630;-12.42;-59.68;-59.47;-59.02;-21.53
1471.640;-12.19;-59.91;-59.70;-59.25;-21.54
1471.650;-11.99;-60.10;-59.89;-59.45;-21.52
1471.660;-11.78;-60.31;-60.11;-59.66;-21.46
1471.670;-11.50;-60.60;-60.39;-59.95;-21.47
1471.680;-11.19;-60.91;-60.70;-60.26;-21.45
1471.690;-10.89;-61.20;-60.99;-60.55;-21.50
1471.700;-10.83;-61.27;-61.06;-60.61;-21.51
1471.710;-10.45;-61.64;-61.43;-60.99;-21.54
1471.720;-10.32;-61.77;-61.57;-61.12;-21.55
1471.730;-10.08;-62.02;-61.81;-61.36;-21.55
1471.740;-9.68;-62.42;-62.21;-61.77;-21.48
1471.750;-9.42;-62.67;-62.46;-62.02;-21.50
1471.760;-9.09;-63.01;-62.80;-62.35;-21.50
1471.770;-9.02;-63.07;-62.87;-62.42;-21.47
1471.780;-8.96;-63.13;-62.93;-62.48;-21.49
1471.790;-8.79;-63.31;-63.10;-62.66;-21.48
1471.800;-8.58;-63.51;-63.30;-62.86;-21.49
1471.810;-8.36;-63.73;-63.52;-63.08;-21.47
1471.820;-8.19;-63.90;-63.70;-63.25;-21.48
1471.830;-8.01;-64.08;-63.88;-63.43;-21.45
1471.840;-7.81;-64.28;-64.08;-63.63;-21.46
1471.850;-7.64;-64.46;-64.25;-63.80;-21.46
1471.860;-7.44;-64.65;-64.44;-64.00;-21.47
1471.870;-7.17;-64.92;-64.71;-64.27;-21.50
1471.880;-7.03;-65.06;-64.85;-64.41;-21.49
1471.890;-6.92;-65.18;-64.97;-64.53;-21.46
1471.900;-6.79;-65.31;-65.10;-64.66;-21.47
1471.910;-6.68;-65.41;-65.20;-64.76;-21.47
1471.920;-6.53;-65.57;-65.36;-64.92;-21.45
1471.930;-6.41;-65.68;-65.47;-65.03;-21.45
1471.940;-6.31;-65.78;-65.57;-65.13;-21.44
1471.950;-6.20;-65.90;-65.69;-65.25;-21.47
1471.960;-6.10;-65.99;-65.78;-65.34;-21.44
1471.970;-6.01;-66.08;-65.88;-65.43;-21.43
1471.980;-5.90;-66.20;-65.99;-65.54;-21.45
1471.990;-5.90;-66.20;-65.99;-65.54;-21.45
1472.000;-5.80;-66.29;-66.08;-65.64;-21.45
1472.010;-5.79;-66.30;-66.09;-65.65;-21.42
1472.020;-5.80;-66.29;-66.08;-65.64;-21.44
1472.030;-5.72;-66.37;-66.16;-65.72;-21.44
1472.040;-5.66;-66.44;-66.23;-65.79;-21.45
1472.050;-5.63;-66.46;-66.25;-65.81;-21.43
1472.060;-5.62;-66.47;-66.26;-65.82;-21.42
1472.070;-5.61;-66.48;-66.27;-65.83;-21.44
1472.080;-5.57;-66.52;-66.31;-65.87;-21.42
1472.090;-5.61;-66.48;-66.27;-65.83;-21.44
1472.100;-5.74;-66.35;-66.14;-65.70;-21.45
1472.110;-5.83;-66.26;-66.05;-65.61;-21.41
1472.120;-5.92;-66.17;-65.96;-65.52;-21.41
1472.130;-5.97;-66.12;-65.91;-65.47;-21.41
1472.140;-5.99;-66.10;-65.89;-65.45;-21.40
1472.150;-6.15;-65.94;-65.73;-65.29;-21.42
1472.160;-6.18;-65.91;-65.70;-65.26;-21.40
1472.170;-6.38;-65.72;-65.51;-65.07;-21.40
1472.180;-6.67;-65.42;-65.21;-64.77;-21.41
1472.190;-6.84;-65.26;-65.05;-64.61;-21.45
1472.200;-7.16;-64.93;-64.72;-64.28;-21.45
1472.210;-7.27;-64.83;-64.62;-64.17;-21.46
1472.220;-7.54;-64.55;-64.34;-63.90;-21.41
1472.230;-7.82;-64.28;-64.06;-63.62;-21.39
1472.240;-7.77;-64.32;-64.11;-63.67;-21.39
1472.250;-8.05;-64.05;-63.83;-63.39;-21.43
1472.260;-8.40;-63.70;-63.48;-63.04;-21.39
1472.270;-8.21;-63.89;-63.67;-63.23;-21.38
1472.280;-8.35;-63.75;-63.53;-63.09;-21.40
1472.290;-8.62;-63.47;-63.26;-62.82;-21.40
1472.300;-8.70;-63.39;-63.18;-62.74;-21.40
1472.310;-8.83;-63.27;-63.05;-62.61;-21.44
1472.320;-8.92;-63.17;-62.96;-62.52;-21.39
1472.330;-9.15;-62.94;-62.73;-62.29;-21.39
1472.340;-9.27;-62.82;-62.61;-62.17;-21.43
1472.350;-9.38;-62.72;-62.50;-62.06;-21.40
