WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1470.000;-8.16;-63.93;-63.71;-63.28;-39.78
1470.010;-8.31;-63.79;-63.56;-63.13;-39.58
1470.020;-8.30;-63.79;-63.57;-63.14;-39.63
1470.030;-8.42;-63.67;-63.44;-63.02;-39.58
1470.040;-8.50;-63.59;-63.37;-62.94;-39.61
1470.050;-8.55;-63.54;-63.31;-62.89;-39.62
1470.060;-8.58;-63.52;-63.29;-62.86;-39.58
1470.070;-8.55;-63.54;-63.32;-62.89;-39.60
1470.080;-8.66;-63.43;-63.20;-62.78;-39.57
1470.090;-8.73;-63.36;-63.13;-62.70;-39.57
1470.100;-8.75;-63.34;-63.11;-62.69;-39.58
1470.110;-8.91;-63.18;-62.95;-62.53;-39.63
1470.120;-9.19;-62.90;-62.67;-62.25;-39.64
1470.130;-9.58;-62.51;-62.28;-61.86;-39.62
1470.140;-9.52;-62.57;-62.34;-61.92;-39.56
1470.150;-9.98;-62.11;-61.88;-61.46;-39.41
1470.160;-10.54;-61.55;-61.32;-60.90;-39.41
1470.170;-10.26;-61.84;-61.61;-61.19;-39.43
1470.180;-10.99;-61.11;-60.88;-60.45;-39.42
1470.190;-12.12;-59.97;-59.75;-59.32;-39.42
1470.200;-12.19;-59.90;-59.67;-59.25;-39.46
1470.210;-11.99;-60.10;-59.88;-59.45;-39.45
1470.220;-7.95;-64.14;-63.91;-63.49;-39.65
1470.230;-7.53;-64.57;-64.34;-63.92;-39.77
1470.240;-7.18;-64.91;-64.68;-64.26;-39.52
1470.250;-7.64;-64.45;-64.22;-63.80;-39.50
1470.260;-7.18;-64.92;-64.69;-64.27;-39.73
1470.270;-7.72;-64.37;-64.15;-63.72;-39.48
1470.280;-8.08;-64.01;-63.79;-63.36;-39.48
1470.290;-8.47;-63.62;-63.39;-62.97;-39.44
1470.300;-8.65;-63.45;-63.22;-62.80;-39.40
1470.310;-8.69;-63.40;-63.17;-62.75;-39.53
1470.320;-8.20;-63.89;-63.66;-63.24;-39.39
1470.330;-8.63;-63.46;-63.24;-62.82;-39.91
1470.340;-8.09;-64.00;-63.78;-63.35;-39.53
1470.350;-8.79;-63.30;-63.07;-62.65;-39.57
1470.360;-8.89;-63.20;-62.98;-62.55;-39.58
1470.370;-9.42;-62.67;-62.45;-62.03;-39.60
1470.380;-10.14;-61.95;-61.73;-61.30;-39.68
1470.390;-9.56;-62.53;-62.31;-61.88;-39.59
1470.400;-11.33;-60.76;-60.54;-60.12;-39.46
1470.410;-11.03;-61.06;-60.84;-60.41;-39.42
1470.420;-12.41;-59.68;-59.46;-59.03;-39.54
1470.430;-11.74;-60.35;-60.13;-59.70;-39.28
1470.440;-12.07;-60.02;-59.80;-59.38;-39.06
1470.450;-11.55;-60.53;-60.32;-59.89;-39.07
1470.460;-11.69;-60.40;-60.18;-59.76;-39.05
1470.470;-11.22;-60.86;-60.65;-60.22;-39.19
1470.480;-11.07;-61.02;-60.80;-60.38;-39.03
1470.490;-11.06;-61.03;-60.81;-60.39;-38.94
1470.500;-10.86;-61.23;-61.01;-60.59;-38.90
1470.510;-10.67;-61.42;-61.21;-60.78;-38.93
1470.520;-10.36;-61.73;-61.51;-61.09;-39.01
1470.530;-10.03;-62.06;-61.85;-61.42;-39.12
1470.540;-9.70;-62.38;-62.17;-61.74;-39.25
1470.550;-9.46;-62.63;-62.42;-61.99;-39.30
1470.560;-9.38;-62.71;-62.49;-62.07;-39.26
1470.570;-9.19;-62.90;-62.68;-62.26;-39.31
1470.580;-8.92;-63.17;-62.96;-62.53;-39.33
1470.590;-8.76;-63.33;-63.11;-62.69;-39.21
1470.600;-8.45;-63.64;-63.43;-63.00;-39.21
1470.610;-8.24;-63.84;-63.63;-63.21;-39.21
1470.620;-8.05;-64.04;-63.83;-63.40;-39.28
1470.630;-7.82;-64.27;-64.06;-63.63;-39.31
1470.640;-7.66;-64.42;-64.21;-63.79;-39.15
1470.650;-7.48;-64.60;-64.39;-63.96;-39.10
1470.660;-7.28;-64.80;-64.60;-64.17;-39.11
1470.670;-7.21;-64.88;-64.67;-64.24;-38.99
1470.680;-7.11;-64.98;-64.77;-64.34;-38.86
1470.690;-6.95;-65.13;-64.92;-64.50;-38.83
1470.700;-6.82;-65.26;-65.05;-64.63;-38.86
1470.710;-6.62;-65.47;-65.26;-64.83;-38.88
1470.720;-6.55;-65.53;-65.32;-64.90;-38.96
1470.730;-6.51;-65.57;-65.36;-64.94;-38.94
1470.740;-6.36;-65.72;-65.52;-65.09;-38.98
1470.750;-6.33;-65.76;-65.55;-65.12;-39.05
1470.760;-6.18;-65.90;-65.69;-65.27;-38.96
1470.770;-6.14;-65.94;-65.73;-65.31;-39.02
1470.780;-6.11;-65.97;-65.76;-65.34;-39.02
1470.790;-6.12;-65.96;-65.76;-65.33;-38.93
1470.800;-6.13;-65.95;-65.75;-65.32;-38.94
1470.810;-6.15;-65.93;-65.73;-65.30;-38.86
1470.820;-6.16;-65.92;-65.72;-65.29;-38.90
1470.830;-6.15;-65.93;-65.73;-65.30;-38.77
1470.840;-6.00;-66.09;-65.88;-65.46;-38.70
1470.850;-6.06;-66.03;-65.82;-65.40;-38.76
1470.860;-6.03;-66.05;-65.85;-65.42;-38.77
1470.870;-6.08;-66.01;-65.80;-65.38;-38.77
1470.880;-6.27;-65.82;-65.61;-65.19;-38.72
1470.890;-6.46;-65.62;-65.42;-64.99;-38.71
1470.900;-6.50;-65.58;-65.38;-64.95;-38.87
