WL[nm]; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL[dB]
1470.000;-7.98;-64.12;-63.89;-63.46;-53.89
1470.010;-8.03;-64.07;-63.84;-63.41;-53.79
1470.020;-7.89;-64.20;-63.97;-63.55;-53.97
1470.030;-7.85;-64.24;-64.01;-63.59;-53.86
1470.040;-7.82;-64.27;-64.05;-63.62;-53.94
1470.050;-7.69;-64.41;-64.18;-63.75;-54.06
1470.060;-7.83;-64.26;-64.03;-63.61;-53.88
1470.070;-7.84;-64.25;-64.03;-63.60;-53.96
1470.080;-7.76;-64.33;-64.10;-63.68;-54.06
1470.090;-7.61;-64.48;-64.25;-63.83;-54.08
1470.100;-7.62;-64.47;-64.25;-63.82;-53.97
1470.110;-7.49;-64.60;-64.38;-63.95;-54.12
1470.120;-7.47;-64.62;-64.39;-63.97;-53.95
1470.130;-7.74;-64.35;-64.12;-63.70;-53.89
1470.140;-7.90;-64.19;-63.96;-63.54;-53.96
1470.150;-8.03;-64.06;-63.83;-63.41;-54.03
1470.160;-8.15;-63.95;-63.72;-63.29;-53.88
1470.170;-8.28;-63.81;-63.58;-63.16;-53.84
1470.180;-8.45;-63.65;-63.42;-62.99;-53.82
1470.190;-8.37;-63.72;-63.49;-63.07;-53.86
1470.200;-8.70;-63.39;-63.17;-62.74;-53.65
1470.210;-8.90;-63.19;-62.96;-62.54;-53.78
1470.220;-9.17;-62.92;-62.69;-62.27;-53.80
1470.230;-9.64;-62.46;-62.23;-61.81;-53.63
1470.240;-9.88;-62.21;-61.99;-61.56;-53.65
1470.250;-10.33;-61.76;-61.53;-61.11;-53.72
1470.260;-10.79;-61.30;-61.07;-60.65;-53.53
1470.270;-10.73;-61.36;-61.14;-60.71;-53.75
1470.280;-11.08;-61.01;-60.79;-60.37;-53.73
1470.290;-11.53;-60.56;-60.34;-59.92;-53.65
1470.300;-11.49;-60.60;-60.37;-59.95;-53.88
1470.310;-11.52;-60.57;-60.35;-59.92;-53.97
1470.320;-11.83;-60.26;-60.04;-59.61;-53.71
1470.330;-12.45;-59.64;-59.42;-58.99;-53.33
1470.340;-12.57;-59.52;-59.30;-58.88;-53.54
1470.350;-13.23;-58.86;-58.63;-58.21;-52.99
1470.360;-14.34;-57.75;-57.53;-57.10;-52.55
1470.370;-14.60;-57.49;-57.27;-56.85;-52.78
1470.380;-14.26;-57.83;-57.61;-57.18;-53.26
1470.390;-13.69;-58.40;-58.18;-57.75;-53.90
1470.400;-13.38;-58.71;-58.49;-58.07;-54.10
1470.410;-13.44;-58.65;-58.43;-58.00;-53.99
1470.420;-12.99;-59.09;-58.88;-58.45;-54.28
1470.430;-13.25;-58.84;-58.62;-58.20;-53.95
1470.440;-13.41;-58.67;-58.46;-58.03;-53.74
1470.450;-13.19;-58.89;-58.68;-58.25;-53.92
1470.460;-13.32;-58.77;-58.55;-58.13;-53.79
1470.470;-13.02;-59.07;-58.85;-58.43;-54.08
1470.480;-12.57;-59.52;-59.31;-58.88;-54.34
1470.490;-12.41;-59.68;-59.46;-59.04;-54.41
1470.500;-11.88;-60.20;-59.99;-59.56;-54.55
1470.510;-11.72;-60.37;-60.15;-59.72;-54.40
1470.520;-11.52;-60.57;-60.36;-59.93;-54.45
1470.530;-11.13;-60.96;-60.74;-60.32;-54.62
1470.540;-11.02;-61.06;-60.85;-60.42;-54.59
1470.550;-10.78;-61.31;-61.09;-60.67;-54.76
1470.560;-10.64;-61.44;-61.23;-60.81;-54.64
1470.570;-10.39;-61.70;-61.49;-61.06;-54.74
1470.580;-10.13;-61.96;-61.75;-61.32;-54.60
1470.590;-9.97;-62.12;-61.90;-61.48;-54.75
1470.600;-9.59;-62.50;-62.29;-61.86;-54.78
1470.610;-9.27;-62.81;-62.60;-62.18;-54.85
1470.620;-9.04;-63.04;-62.83;-62.41;-54.90
1470.630;-8.67;-63.41;-63.20;-62.77;-55.01
1470.640;-8.56;-63.53;-63.32;-62.89;-54.98
1470.650;-8.37;-63.72;-63.51;-63.08;-54.87
1470.660;-8.19;-63.89;-63.68;-63.26;-54.93
1470.670;-8.05;-64.03;-63.82;-63.40;-54.90
